date,Retail
2004-01-04,100.0
2004-01-11,89.0
2004-01-18,88.0
2004-01-25,89.0
2004-02-01,78.0
2004-02-08,87.0
2004-02-15,87.0
2004-02-22,85.0
2004-02-29,90.0
2004-03-07,81.0
2004-03-14,78.0
2004-03-21,85.0
2004-03-28,84.0
2004-04-04,85.0
2004-04-11,82.0
2004-04-18,85.0
2004-04-25,83.0
2004-05-02,84.0
2004-05-09,81.0
2004-05-16,79.0
2004-05-23,76.0
2004-05-30,80.0
2004-06-06,78.0
2004-06-13,81.0
2004-06-20,88.0
2004-06-27,92.0
2004-07-04,86.0
2004-07-11,85.0
2004-07-18,88.0
2004-07-25,81.0
2004-08-01,88.0
2004-08-08,88.0
2004-08-15,86.0
2004-08-22,84.0
2004-08-29,83.0
2004-09-05,77.0
2004-09-12,79.0
2004-09-19,81.0
2004-09-26,79.0
2004-10-03,81.0
2004-10-10,97.0
2004-10-17,81.0
2004-10-24,83.0
2004-10-31,75.0
2004-11-07,83.0
2004-11-14,88.0
2004-11-21,86.0
2004-11-28,93.0
2004-12-05,88.0
2004-12-12,92.0
2004-12-19,87.0
2004-12-26,91.5
2005-01-02,89.0
2005-01-09,89.0
2005-01-16,86.0
2005-01-23,87.0
2005-01-30,84.0
2005-02-06,88.0
2005-02-13,82.0
2005-02-20,79.0
2005-02-27,78.0
2005-03-06,86.0
2005-03-13,81.0
2005-03-20,73.0
2005-03-27,87.0
2005-04-03,79.0
2005-04-10,86.0
2005-04-17,80.0
2005-04-24,82.0
2005-05-01,83.0
2005-05-08,81.0
2005-05-15,79.0
2005-05-22,79.0
2005-05-29,78.0
2005-06-05,84.0
2005-06-12,82.0
2005-06-19,89.0
2005-06-26,87.0
2005-07-03,87.0
2005-07-10,89.0
2005-07-17,86.0
2005-07-24,85.0
2005-07-31,87.0
2005-08-07,89.0
2005-08-14,84.0
2005-08-21,78.0
2005-08-28,81.0
2005-09-04,74.0
2005-09-11,69.0
2005-09-18,81.0
2005-09-25,78.0
2005-10-02,80.0
2005-10-09,82.0
2005-10-16,100.0
2005-10-23,81.0
2005-10-30,75.0
2005-11-06,81.0
2005-11-13,78.0
2005-11-20,84.0
2005-11-27,87.0
2005-12-04,87.0
2005-12-11,81.0
2005-12-18,91.0
2005-12-25,100.0
2006-01-01,89.0
2006-01-08,85.0
2006-01-15,84.0
2006-01-22,85.0
2006-01-29,85.0
2006-02-05,85.0
2006-02-12,86.0
2006-02-19,86.0
2006-02-26,83.0
2006-03-05,81.0
2006-03-12,78.0
2006-03-19,78.0
2006-03-26,86.0
2006-04-02,80.0
2006-04-09,83.0
2006-04-16,86.0
2006-04-23,80.0
2006-04-30,81.0
2006-05-07,81.0
2006-05-14,82.0
2006-05-21,79.0
2006-05-28,84.0
2006-06-04,79.0
2006-06-11,81.0
2006-06-18,87.0
2006-06-25,83.0
2006-07-02,82.0
2006-07-09,90.0
2006-07-16,87.0
2006-07-23,91.0
2006-07-30,93.0
2006-08-06,87.0
2006-08-13,84.0
2006-08-20,86.0
2006-08-27,82.0
2006-09-03,84.0
2006-09-10,86.0
2006-09-17,83.0
2006-09-24,84.0
2006-10-01,85.0
2006-10-08,81.0
2006-10-15,84.0
2006-10-22,84.0
2006-10-29,78.0
2006-11-05,81.0
2006-11-12,86.0
2006-11-19,85.0
2006-11-26,93.0
2006-12-03,83.0
2006-12-10,89.0
2006-12-17,100.0
2006-12-24,90.0
2006-12-31,91.0
2007-01-07,87.0
2007-01-14,88.0
2007-01-21,83.0
2007-01-28,89.0
2007-02-04,80.0
2007-02-11,80.0
2007-02-18,81.0
2007-02-25,79.0
2007-03-04,84.0
2007-03-11,79.0
2007-03-18,81.0
2007-03-25,82.0
2007-04-01,83.0
