date,Computer Security
2004-01-04,65.0
2004-01-11,64.0
2004-01-18,80.0
2004-01-25,79.0
2004-02-01,72.0
2004-02-08,84.0
2004-02-15,75.0
2004-02-22,86.0
2004-02-29,77.0
2004-03-07,84.0
2004-03-14,43.0
2004-03-21,86.0
2004-03-28,66.0
2004-04-04,60.0
2004-04-11,53.0
2004-04-18,100.0
2004-04-25,46.0
2004-05-02,83.0
2004-05-09,79.0
2004-05-16,71.0
2004-05-23,46.0
2004-05-30,60.0
2004-06-06,80.0
2004-06-13,75.0
2004-06-20,39.0
2004-06-27,90.0
2004-07-04,67.0
2004-07-11,64.0
2004-07-18,53.0
2004-07-25,73.0
2004-08-01,79.0
2004-08-08,72.0
2004-08-15,53.0
2004-08-22,64.0
2004-08-29,64.0
2004-09-05,43.0
2004-09-12,46.0
2004-09-19,83.0
2004-09-26,69.0
2004-10-03,91.0
2004-10-10,79.0
2004-10-17,79.0
2004-10-24,63.0
2004-10-31,61.0
2004-11-07,74.0
2004-11-14,65.0
2004-11-21,53.0
2004-11-28,49.0
2004-12-05,63.0
2004-12-12,52.0
2004-12-19,42.0
2004-12-26,35.5
2005-01-02,73.0
2005-01-09,75.0
2005-01-16,100.0
2005-01-23,78.0
2005-01-30,99.0
2005-02-06,81.0
2005-02-13,89.0
2005-02-20,76.0
2005-02-27,79.0
2005-03-06,79.0
2005-03-13,72.0
2005-03-20,69.0
2005-03-27,80.0
2005-04-03,50.0
2005-04-10,75.0
2005-04-17,73.0
2005-04-24,70.0
2005-05-01,95.0
2005-05-08,58.0
2005-05-15,53.0
2005-05-22,74.0
2005-05-29,64.0
2005-06-05,48.0
2005-06-12,55.0
2005-06-19,60.0
2005-06-26,77.0
2005-07-03,69.0
2005-07-10,55.0
2005-07-17,66.0
2005-07-24,90.0
2005-07-31,88.0
2005-08-07,58.0
2005-08-14,86.0
2005-08-21,91.0
2005-08-28,59.0
2005-09-04,86.0
2005-09-11,71.0
2005-09-18,76.0
2005-09-25,69.0
2005-10-02,43.0
2005-10-09,51.0
2005-10-16,51.0
2005-10-23,66.0
2005-10-30,69.0
2005-11-06,56.0
2005-11-13,72.0
2005-11-20,55.0
2005-11-27,77.0
2005-12-04,66.0
2005-12-11,66.0
2005-12-18,67.0
2005-12-25,64.0
2006-01-01,82.0
2006-01-08,76.0
2006-01-15,99.0
2006-01-22,61.0
2006-01-29,93.0
2006-02-05,65.0
2006-02-12,71.0
2006-02-19,98.0
2006-02-26,58.0
2006-03-05,81.0
2006-03-12,77.0
2006-03-19,88.0
2006-03-26,77.0
2006-04-02,88.0
2006-04-09,100.0
2006-04-16,85.0
2006-04-23,69.0
2006-04-30,67.0
2006-05-07,69.0
2006-05-14,62.0
2006-05-21,92.0
2006-05-28,73.0
2006-06-04,80.0
2006-06-11,74.0
2006-06-18,66.0
2006-06-25,64.0
2006-07-02,58.0
2006-07-09,84.0
2006-07-16,69.0
2006-07-23,65.0
2006-07-30,75.0
2006-08-06,57.0
2006-08-13,79.0
2006-08-20,55.0
2006-08-27,61.0
2006-09-03,75.0
2006-09-10,85.0
2006-09-17,63.0
2006-09-24,53.0
2006-10-01,65.0
2006-10-08,73.0
2006-10-15,78.0
2006-10-22,75.0
2006-10-29,64.0
2006-11-05,44.0
2006-11-12,62.0
2006-11-19,58.0
2006-11-26,76.0
2006-12-03,66.0
2006-12-10,63.0
2006-12-17,68.0
2006-12-24,67.0
2006-12-31,67.0
2007-01-07,78.0
2007-01-14,65.0
2007-01-21,77.0
2007-01-28,83.0
2007-02-04,69.0
2007-02-11,82.0
2007-02-18,91.0
2007-02-25,84.0
2007-03-04,82.0
2007-03-11,66.0
2007-03-18,83.0
2007-03-25,59.0
2007-04-01,75.0
2007-04-08,92.0
2007-04-15,75.0
2007-04-22,88.0
2007-04-29,88.0
2007-05-06,74.0
2007-05-13,82.0
2007-05-20,82.0
2007-05-27,75.0
2007-06-03,67.0
2007-06-10,77.0
2007-06-17,65.0
2007-06-24,74.0
2007-07-01,70.0
2007-07-08,97.0
2007-07-15,76.0
2007-07-22,69.0
2007-07-29,67.0
2007-08-05,70.0
2007-08-12,64.0
2007-08-19,59.0
2007-08-26,100.0
2007-09-02,74.0
2007-09-09,75.0
2007-09-16,75.0
2007-09-23,84.0
2007-09-30,93.0
2007-10-07,67.0
2007-10-14,85.0
2007-10-21,88.0
2007-10-28,59.0
2007-11-04,73.0
2007-11-11,79.0
2007-11-18,75.0
2007-11-25,94.0
2007-12-02,85.0
2007-12-09,92.0
2007-12-16,84.0
2007-12-23,73.0
2007-12-30,88.0
2008-01-06,83.0
2008-01-13,79.0
2008-01-20,84.0
2008-01-27,89.0
2008-02-03,64.0
2008-02-10,64.0
2008-02-17,91.0
2008-02-24,70.0
2008-03-02,92.0
2008-03-09,82.0
2008-03-16,85.0
2008-03-23,76.0
2008-03-30,98.0
2008-04-06,97.0
2008-04-13,89.0
2008-04-20,82.0
2008-04-27,80.0
2008-05-04,81.0
2008-05-11,73.0
2008-05-18,90.0
2008-05-25,74.0
2008-06-01,89.0
2008-06-08,83.0
2008-06-15,71.0
2008-06-22,69.0
2008-06-29,87.0
2008-07-06,97.0
2008-07-13,86.0
2008-07-20,93.0
2008-07-27,85.0
2008-08-03,100.0
2008-08-10,98.0
2008-08-17,85.0
2008-08-24,88.0
2008-08-31,88.0
2008-09-07,86.0
2008-09-14,80.0
2008-09-21,89.0
2008-09-28,71.0
2008-10-05,75.0
2008-10-12,77.0
2008-10-19,88.0
2008-10-26,80.0
2008-11-02,71.0
2008-11-09,96.0
2008-11-16,92.0
2008-11-23,78.0
2008-11-30,79.0
