ticker,AACS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-22,-50.0
2000-09-28,40.0
2000-10-06,-14.2857
2000-10-17,-58.3333
2000-11-02,20.0
2000-11-27,60.0
2000-11-28,4.1667
2000-11-30,40.0
2000-12-05,-35.7143
2000-12-06,-55.5556
2000-12-08,0.0
2000-12-11,100.0
2000-12-14,-25.0
2000-12-15,-83.3333
2000-12-26,-98.4
2000-12-27,0.0
2000-12-28,9900.0
2000-12-29,-90.0
2001-01-02,1900.0
2001-01-18,200.0
2001-01-19,0.0
2001-01-22,-10.0
2001-01-26,15.7407
2001-02-01,-99.84
2001-02-05,0.0
2001-02-20,6150.0
2001-02-23,700.0
2001-02-26,-50.0
2001-02-27,125.0
2001-02-28,77.7778
2001-03-01,-21.875
2001-03-02,0.0
2001-03-05,0.0
2001-03-06,-29.6
2001-03-12,36.3636
2001-03-14,0.0
2001-03-16,16.6667
2001-03-19,-42.8571
2001-03-20,25.0
2001-03-21,-20.0
2001-03-22,0.0
2001-03-23,6.25
2001-03-26,0.0
2001-03-27,-5.8824
2001-03-29,0.0
2001-03-30,2.0
2001-04-02,43.1373
2001-04-03,-1.3699
2001-04-04,-13.1944
2001-04-05,0.0
2001-04-06,-0.8
2001-04-09,1.6129
2001-04-10,11.1111
2001-04-11,-31.4286
2001-04-12,-2.0833
2001-04-16,-23.4043
2001-04-17,-19.4444
2001-04-18,-13.7931
2001-04-19,26.0
2001-04-20,4.7619
2001-04-23,9.0909
2001-04-24,2.7778
2001-04-25,-2.7027
2001-04-26,-13.8889
2001-04-27,0.0
2001-04-30,11.2903
2001-05-01,-4.3478
2001-05-02,12.1212
2001-05-03,0.0
2001-05-04,-2.7027
2001-05-07,-8.3333
2001-05-09,-10.4545
2001-05-10,11.6751
2001-05-11,21.2121
2001-05-14,-2.5
2001-05-15,10.2564
2001-05-16,-9.3023
2001-05-17,0.0
2001-05-18,12.8205
2001-05-21,18.1818
2001-05-22,1.9231
2001-05-23,3.7736
2001-05-24,-7.2727
2001-05-25,-5.8824
2001-05-29,4.1667
2001-05-30,-6.0
2001-06-01,0.0
2001-06-05,-6.383
2001-06-06,20.4545
2001-06-07,-15.0943
2001-06-08,-6.6667
2001-06-11,-7.1429
2001-06-13,-25.641
2001-06-14,0.0
2001-06-15,0.0
2001-06-18,6.8966
2001-06-19,-6.4516
2001-06-20,-10.3448
2001-06-21,-7.6923
2001-06-22,-10.4167
2001-06-25,0.0
2001-06-26,0.0
2001-06-27,-4.6512
