ticker,ABIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.0882
2000-01-04,2.4
2000-01-05,3.9062
2000-01-06,17.2932
2000-01-07,46.1538
2000-01-10,25.4386
2000-01-11,-18.8811
2000-01-12,-6.8966
2000-01-13,-11.8056
2000-01-14,7.0866
2000-01-18,1.4706000000000001
2000-01-19,19.0821
2000-01-20,1.217
2000-01-21,8.8176
2000-01-24,8.2873
2000-01-25,12.2449
2000-01-26,-11.5152
2000-01-27,-7.3629999999999995
2000-01-28,-6.8392
2000-01-31,0.5952
2000-02-01,1.7751000000000001
2000-02-02,57.3643
2000-02-03,22.1675
2000-02-04,-5.1411
2000-02-07,5.2072
2000-02-08,8.6869
2000-02-09,-3.5316
2000-02-10,9.344899999999999
2000-02-11,-3.348
2000-02-14,2.2789
2000-02-15,29.59
2000-02-16,8.9409
2000-02-17,21.4646
2000-02-18,4.9896
2000-02-22,-22.0297
2000-02-23,0.8254
2000-02-24,-2.7708
2000-02-25,-0.9067
2000-02-28,-3.268
2000-02-29,9.4595
2000-03-01,0.4321
2000-03-02,-9.6497
2000-03-03,3.8095
2000-03-06,0.0655
2000-03-07,-12.7701
2000-03-08,-9.9099
2000-03-09,-8.0
2000-03-10,-4.6196
2000-03-13,-5.0332
2000-03-14,-32.8
2000-03-15,7.1429
2000-03-16,5.1389
2000-03-17,14.1347
2000-03-20,-11.5741
2000-03-21,10.9948
2000-03-22,10.0236
2000-03-23,2.4652
2000-03-24,-11.2971
2000-03-27,-5.6604
2000-03-28,-7.0
2000-03-29,-10.7527
2000-03-30,-7.9818999999999996
2000-03-31,16.8576
2000-04-03,-10.6443
2000-04-04,-7.0533
2000-04-05,4.5531
2000-04-06,3.5484
2000-04-07,-0.9346
2000-04-10,-6.6038
2000-04-11,-8.4175
2000-04-12,-8.0882
2000-04-13,-7.2
2000-04-14,-22.4138
2000-04-17,-6.6667
2000-04-18,14.2857
2000-04-19,16.1458
2000-04-20,-5.3812
2000-04-24,-4.0284
2000-04-25,8.642
2000-04-26,-1.5909
2000-04-27,-1.6166
2000-04-28,5.8685
2000-05-01,24.1685
2000-05-02,-17.1429
2000-05-03,2.3707
2000-05-04,5.4737
2000-05-05,0.5988
2000-05-08,-0.3968
2000-05-09,-9.1633
2000-05-10,-5.2632
2000-05-11,4.1667
2000-05-12,5.5556
2000-05-15,3.7895
2000-05-16,5.8824
2000-05-17,-3.0651
2000-05-18,-7.1146
2000-05-19,-5.5319
2000-05-22,-0.4505
