ticker,ADDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-13,14.2857
2000-03-14,-4.1667
2000-03-17,0.0
2000-03-23,0.0
2000-03-24,13.0435
2000-03-30,-11.538499999999999
2000-04-25,4.3478
2000-08-16,-16.6667
2000-09-07,-10.0
2000-10-10,11.1111
2000-11-27,0.0
2000-11-29,0.0
2000-12-08,0.0
2001-04-19,-20.0
2001-05-17,0.0
2001-08-06,0.0
2001-09-21,0.0
2001-10-03,0.0
2001-12-31,0.0
2002-01-03,0.0
2002-01-07,0.0
2002-01-31,5.0
2002-02-22,-45.2381
2002-05-02,117.3913
2002-06-07,-53.0
2002-06-24,0.0
2002-06-26,48.9362
2002-06-28,-34.2857
2002-07-02,0.0
2002-07-08,0.0
2002-07-09,30.4348
2002-09-10,-21.6667
2002-09-13,-2.1277
2002-10-10,-23.913
2002-11-04,0.0
2002-11-20,0.0
2002-11-27,5.7143
2002-12-09,1.3514
2002-12-11,-5.0667
2002-12-12,0.0
2003-01-29,12.3596
2003-02-13,6.5
2003-03-27,130.0469
2003-07-10,-13.2653
2003-07-15,0.0
2003-08-18,5.8824
2003-08-20,-11.1111
2003-08-22,6.25
2003-09-05,0.0
2003-11-11,3.5294
2003-11-18,0.0
2003-11-19,0.0
2003-12-01,0.0
2003-12-02,25.0
2003-12-22,-9.0909
2003-12-24,10.0
2004-01-28,-1.8182
2004-03-03,6.4815
2004-05-11,-8.6957
2004-06-01,4.7619
2004-06-28,4.5455
2004-09-02,-7.8261
2004-09-14,3.7736
2004-10-06,0.0
2004-11-30,0.0
2004-12-15,9.0909
2004-12-31,-4.1667
2005-01-05,0.0
2005-01-10,4.3478
2005-01-18,8.3333
2005-01-19,5.3846
2005-01-24,-3.6496
2005-01-27,2.2727
2005-01-28,-11.1111
2005-02-02,-0.8333
2005-02-03,0.8403
2005-02-11,0.0
2005-02-24,-0.8333
2005-03-04,0.8403
2005-03-09,20.8333
2005-03-10,13.1034
2005-03-14,-14.6341
2005-03-15,14.2857
2005-03-16,-12.5
2005-03-17,25.0
2005-03-18,-22.2857
2005-04-01,2.9412000000000003
2005-04-04,25.0
2005-04-12,-20.0
2005-05-20,-1.4285999999999999
2005-06-07,1.4493
2005-07-22,0.0
2005-08-18,0.0
2005-08-22,0.7143
2005-08-23,1.984
2005-10-24,-1.9454
2005-10-25,1.8439999999999999
2006-01-09,-2.507
2006-02-02,4.2857
2006-03-20,-2.7397
2006-03-28,2.8169
2006-04-17,0.6849
2006-04-26,-1.3605
