ticker,AIPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-20,-6.6667
2007-06-26,-7.1429
2007-07-06,15.3846
2007-07-10,-6.6667
2007-08-13,-21.4286
2007-08-15,0.0
2007-08-22,0.0
2007-08-23,0.0
2007-08-24,0.0
2007-08-27,0.0
2007-09-05,0.0
2007-09-12,0.0
2007-09-19,0.0
2007-09-21,0.0
2007-09-24,0.0
2007-09-25,-1.8182
2007-09-27,18.5185
2007-09-28,7.8125
2007-10-01,8.6957
2007-10-02,0.0
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,0.0
2007-10-10,0.0
2007-10-15,0.0
2007-10-16,0.0
2007-10-18,0.0
2007-10-26,6.6667
2007-10-29,0.0
2007-10-30,0.0
2007-10-31,0.0
2007-11-01,-1.25
2007-11-05,5.0633
2007-11-07,2.4096
2007-11-12,0.0
2007-11-21,-1.1764999999999999
2007-11-23,7.1429
2007-11-26,-3.3333
2007-11-29,3.4483
2007-12-03,0.0
2007-12-04,0.0
2007-12-06,0.0
2007-12-10,0.0
2007-12-13,-11.1111
2007-12-17,3.75
2007-12-26,8.4337
2007-12-27,-11.1111
2008-01-04,-1.25
2008-01-07,1.2658
2008-01-09,6.25
2008-01-14,0.0
2008-01-17,0.0
2008-01-29,-42.3529
2008-02-01,69.3878
2008-02-11,2.4096
2008-02-14,0.0
2008-02-29,0.0
2008-03-10,0.0
2008-03-26,0.0
2008-04-01,-38.8235
2008-04-09,44.2308
2008-04-15,0.0
2008-04-16,0.0
2008-04-22,10.6667
2008-04-28,-3.6145
2008-04-29,3.75
2008-04-30,1.2048
2008-05-02,0.0
2008-05-05,0.0
2008-05-06,0.0
2008-05-09,-2.3810000000000002
2008-05-13,-2.439
2008-05-14,5.0
2008-05-19,0.0
2008-05-23,0.0
2008-06-05,-16.6667
2008-06-06,0.0
2008-06-10,0.0
2008-06-11,0.0
2008-06-12,17.1429
2008-06-16,-2.439
2008-06-25,0.0
2008-07-01,0.0
2008-07-21,0.0
2008-07-24,-12.5
2008-07-29,0.0
2008-08-05,0.0
2008-08-11,0.0
2008-08-13,-1.4285999999999999
2008-08-14,0.0
2008-08-15,0.0
2008-08-18,0.0
2008-08-27,0.0
2008-09-05,-13.0435
2008-09-09,13.3333
2008-09-10,-11.7647
2008-09-11,-8.3333
2008-09-23,-69.0909
2008-09-24,200.0
2008-09-26,-1.9607999999999999
2008-10-03,0.0
2008-10-06,0.0
2008-10-08,-70.0
