ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-02,-10.0
2014-05-05,-6.9444
2014-05-06,-8.9552
2014-05-07,-0.8197
2014-05-08,15.5372
2014-05-09,-6.2947
2014-05-12,5.8015
2014-05-13,0.7161
2014-05-14,-6.5852
2014-05-15,14.1104
2014-05-16,-2.957
2014-05-19,2.6316
2014-05-20,-0.9447
2014-05-21,-8.3089
2014-05-22,-0.4476
2014-05-23,0.597
2014-05-27,-5.638
2014-05-28,-3.1447
2014-05-29,1.461
2014-05-30,-2.355
2014-06-02,-0.2079
2014-06-03,3.1157
2014-06-04,-3.0235
2014-06-05,7.5534
2014-06-06,0.458
2014-06-09,-0.152
2014-06-10,6.3927
2014-06-11,-6.867
2014-06-12,2.4577999999999998
2014-06-13,1.7991000000000001
2014-06-16,1.9146
2014-06-17,4.0462
2014-06-18,-7.0833
2014-06-19,12.2571
2014-06-20,-7.4567
2014-06-23,3.5971
2014-06-24,-7.6389
2014-06-25,0.7519
2014-06-26,-0.7463
2014-06-27,1.0526
2014-06-30,-2.3810000000000002
2014-07-01,1.5244
2014-07-02,-1.0511
2014-07-07,0.0607
2014-07-08,-1.4255
2014-07-09,3.0769
2014-07-10,-5.8209
2014-07-11,3.645
2014-07-14,-6.7278
2014-07-15,-1.6393
2014-07-16,-10.8385
2014-07-17,-9.5298
2014-07-18,-0.204
2014-07-21,3.3125999999999998
2014-07-22,-4.8096
2014-07-23,-5.2632
2014-07-24,-4.6667
2014-07-25,-0.4662
2014-07-28,-14.9883
2014-07-29,5.9229
2014-07-30,-3.7711
2014-07-31,-3.5135
2014-08-01,-1.9607999999999999
2014-08-04,-4.5714
2014-08-05,-1.7964
2014-08-06,10.0648
2014-08-07,6.3675
2014-08-08,8.0697
2014-08-11,4.0995
2014-08-12,-8.1019
2014-08-13,1.7631999999999999
2014-08-14,3.9635
2014-08-15,-4.2886
2014-08-18,2.4876
2014-08-19,0.4854
2014-08-20,-3.1401
2014-08-21,-2.9925
2014-08-22,-1.7995
2014-08-25,1.0471
2014-08-26,-6.7358
2014-08-27,-5.5556
2014-08-28,-1.4706000000000001
2014-08-29,3.2836
2014-09-02,4.9133
2014-09-03,-0.8264
2014-09-04,8.0556
2014-09-05,8.2262
2014-09-08,-3.8005
2014-09-09,2.963
2014-09-10,-2.1583
2014-09-11,1.7157
2014-09-12,21.2048
2014-09-15,30.5169
2014-09-16,4.7982
2014-09-17,1.0193
2014-09-18,-0.7212
2014-09-19,7.2464
