ticker,AMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-01,-2.5
2013-08-02,1.4744
2013-08-05,-1.0739
2013-08-06,0.7663
2013-08-07,-0.8238
2013-08-08,3.0032
2013-08-09,-0.1241
2013-08-12,0.3106
2013-08-13,-0.6192
2013-08-14,-0.0623
2013-08-15,-0.2494
2013-08-16,0.375
2013-08-19,-0.3113
2013-08-20,0.0
2013-08-21,0.2498
2013-08-22,0.1246
2013-08-23,-0.3111
2013-08-26,-1.0612
2013-08-27,0.5047
2013-08-28,-0.1255
2013-08-29,-0.0629
2013-08-30,-0.1258
2013-09-03,0.7557
2013-09-04,0.3125
2013-09-05,-1.3084
2013-09-06,0.5051
2013-09-09,0.8794
2013-09-10,-2.7397
2013-09-11,-0.5762
2013-09-12,-1.159
2013-09-13,3.2573
2013-09-16,0.3785
2013-09-17,0.1257
2013-09-18,0.1255
2013-09-19,0.5643
2013-09-20,1.6209
2013-09-23,3.0675
2013-09-24,0.5952
2013-09-25,-1.716
2013-09-26,0.6623
2013-09-27,-1.9139
2013-09-30,-1.5244
2013-10-01,-0.805
2013-10-02,-1.2484
2013-10-03,-1.3906
2013-10-04,1.2821
2013-10-07,-1.2658
2013-10-08,-0.9615
2013-10-09,-1.4887000000000001
2013-10-10,0.657
2013-10-11,0.1958
2013-10-14,0.7166
2013-10-15,-0.2587
2013-10-16,1.6861000000000002
2013-10-17,0.8929
2013-10-18,0.2528
2013-10-21,0.8827
2013-10-22,0.375
2013-10-23,-0.4359
2013-10-24,0.1876
2013-10-25,0.3121
2013-10-28,0.2489
2013-10-29,-1.1794
2013-10-30,-1.696
2013-10-31,-1.0863
2013-11-01,1.1628
2013-11-04,0.5747
2013-11-05,0.127
2013-11-06,1.7755
2013-11-07,-0.1246
2013-11-08,0.8734
2013-11-11,-0.4329
2013-11-12,0.8696
2013-11-13,2.4015
2013-11-14,-0.4811
2013-11-15,1.8731
2013-11-18,-0.5931
2013-11-19,-1.3126
2013-11-20,-0.7255
2013-11-21,0.1827
2013-11-22,0.2432
2013-11-25,-0.4245
2013-11-26,0.3654
2013-11-27,-0.182
2013-11-29,-0.304
2013-12-02,0.3659
2013-12-03,-0.0608
2013-12-04,-1.5805
2013-12-05,-1.4824
2013-12-06,3.4483
2013-12-09,0.0
2013-12-10,-0.6667
2013-12-11,-1.2203
2013-12-12,-0.3098
2013-12-13,0.1865
2013-12-16,-0.1861
2013-12-17,-0.6215
2013-12-18,1.3133
2013-12-19,0.0617
