ticker,AQQSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-11-21,-9.7744
2001-11-26,-31.25
2001-11-27,0.0
2001-11-29,-19.3939
2001-11-30,1.6541000000000001
2001-12-03,-3.6982
2001-12-04,-0.1536
2001-12-05,1.6923
2001-12-06,-3.0257
2001-12-07,0.0
2001-12-10,-2.1841
2001-12-11,0.0
2001-12-12,0.0
2001-12-13,-1.4354
2001-12-14,-1.6181
2001-12-17,1.6447
2001-12-18,3.5599
2001-12-19,3.9063
2001-12-20,0.7519
2001-12-21,2.9851
2001-12-24,0.7246
2001-12-26,-0.2878
2001-12-27,0.2886
2001-12-28,2.1583
2001-12-31,0.0
2002-01-02,-1.4085
2002-01-03,0.5714
2002-01-04,-1.8466
2002-01-07,-1.013
2002-01-08,2.3392
2002-01-09,-1.1429
2002-01-10,-0.1445
2002-01-11,0.0
2002-01-14,1.3025
2002-01-15,-0.4286
2002-01-16,0.0
2002-01-17,0.4304
2002-01-18,-1.4285999999999999
2002-01-22,0.7246
2002-01-23,0.7194
2002-01-24,0.8571
2002-01-25,0.1416
2002-01-28,-2.9703
2002-01-29,2.0408
2002-01-30,-3.5714
2002-01-31,-0.1481
2002-02-01,-0.5935
2002-02-04,-0.8955
2002-02-05,0.3012
2002-02-06,-5.4054
2002-02-07,-1.4285999999999999
2002-02-08,1.4493
2002-02-11,-0.9524
2002-02-12,0.641
2002-02-13,3.5032
2002-02-14,-0.7692
2002-02-15,-2.3256
2002-02-19,5.7143
2002-02-20,1.3514
2002-02-21,-0.7407
2002-02-22,0.0
2002-02-25,-0.7463
2002-02-26,-0.7519
2002-02-27,-1.5152
2002-02-28,-1.5385
2002-03-01,1.5625
2002-03-04,-1.5385
2002-03-05,-0.7813
2002-03-06,0.1575
2002-03-07,-1.2579
2002-03-08,-1.2739
2002-03-11,-0.6452
2002-03-12,-0.487
2002-03-13,1.9576
2002-03-14,0.96
2002-03-15,-0.9509
2002-03-18,1.76
2002-03-19,0.3145
2002-03-20,4.232
2002-03-21,5.2632
2002-03-22,-1.4285999999999999
2002-03-25,-2.029
2002-03-26,1.3314
2002-03-27,0.7299
2002-03-28,-0.7246
2002-04-01,-1.4599
2002-04-02,0.0
2002-04-03,0.0
2002-04-04,0.0
2002-04-05,0.0
2002-04-08,0.5926
2002-04-09,-1.0309
2002-04-10,1.1905000000000001
2002-04-11,1.7647
2002-04-12,-1.3006
2002-04-15,1.0249
2002-04-16,1.1594
2002-04-17,-1.8625
2002-04-18,3.5036
