ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-11,99.3333
2015-06-12,-25.3846
2015-06-15,2.5101
2015-06-16,-3.2794
2015-06-17,-5.0633
2015-06-18,-8.2857
2015-06-19,0.6231
2015-06-22,3.6635999999999997
2015-06-23,0.1991
2015-06-24,-0.2484
2015-06-25,-2.1414
2015-06-26,-0.8651
2015-06-29,2.4641
2015-06-30,2.1042
2015-07-01,-3.3366
2015-07-02,-2.2335
2015-07-06,-1.4019
2015-07-07,0.0527
2015-07-08,-1.4737
2015-07-09,-2.2436
2015-07-10,-4.0437
2015-07-13,-1.8223
2015-07-14,-1.4501
2015-07-15,1.8246
2015-07-16,1.3873
2015-07-17,21.2657
2015-07-20,-2.0216
2015-07-21,-6.8618
2015-07-22,-6.44
2015-07-23,-9.7467
2015-07-24,-5.6742
2015-07-27,0.7762
2015-07-28,2.3748
2015-07-29,-6.8339
2015-07-30,-1.7497
2015-07-31,-4.0411
2015-08-03,-8.2084
2015-08-04,-3.4992
2015-08-05,-5.8018
2015-08-06,0.7699
2015-08-07,0.8489
2015-08-10,-0.4209
2015-08-11,-2.3669000000000002
2015-08-12,-1.8182
2015-08-13,1.4990999999999999
2015-08-14,1.7376
2015-08-17,20.0683
2015-08-18,-8.2504
2015-08-19,-4.2636
2015-08-20,-9.473700000000001
2015-08-21,0.6261
2015-08-24,-0.4444
2015-08-25,3.8393
2015-08-26,-4.7291
2015-08-27,12.6354
2015-08-28,-4.8077
2015-08-31,1.1785
2015-09-01,2.3295
2015-09-02,7.2358
2015-09-03,1.5163
2015-09-04,-1.419
2015-09-08,-4.0909
2015-09-09,0.8689
2015-09-10,6.1081
2015-09-11,8.3395
2015-09-14,13.0109
2015-09-15,-0.6028
2015-09-16,-0.7884
2015-09-17,-0.978
2015-09-18,-1.4198
2015-09-21,-9.4552
2015-09-22,7.953
2015-09-23,1.9859
2015-09-24,-3.706
2015-09-25,-4.1748
2015-09-28,-19.469
2015-09-29,3.4657999999999998
2015-09-30,5.5556
2015-10-01,8.5913
2015-10-02,-4.7755
2015-10-05,0.0749
2015-10-06,-1.1967
2015-10-07,7.2672
2015-10-08,-6.7749
2015-10-09,3.028
2015-10-12,1.5430000000000001
2015-10-13,-10.636800000000001
2015-10-14,6.2348
2015-10-15,1.4482
2015-10-16,0.1503
2015-10-19,-0.2251
2015-10-20,-4.2105
2015-10-21,5.1805
2015-10-22,-3.209
2015-10-23,-1.8504
2015-10-26,0.707
2015-10-27,-1.5601
