ticker,BBGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-20,0.0
2004-04-21,-38.0952
2004-04-22,55.3846
2004-04-23,-59.4059
2004-04-27,58.5366
2004-04-29,3.0769
2004-05-12,-2.9851
2004-05-17,-27.6923
2004-08-25,17.0213
2004-10-07,83.6364
2004-10-21,28.7129
2004-10-29,15.3846
2004-11-01,0.0
2004-11-23,0.0
2004-12-08,-16.0
2005-02-09,0.0
2005-04-04,0.0
2005-07-06,38.8889
2005-08-17,2.8571
2005-08-26,11.1111
2006-02-01,0.0
2006-02-02,87.5
2006-03-29,-33.3333
2006-06-13,-20.0
2006-06-19,-25.0
2006-06-27,0.0
2006-07-11,0.0
2006-07-21,0.0
2006-08-15,0.0
2006-08-25,0.0
2006-11-08,0.0
2006-11-10,0.0
2006-11-15,46.6667
2006-11-16,-22.7273
2006-11-17,-11.1765
2006-11-20,-6.6225000000000005
2006-11-21,19.1489
2006-11-22,-1.1905000000000001
2006-11-24,-3.6145
2006-11-27,5.0
2006-11-28,9.5238
2006-11-29,8.6957
2006-11-30,0.0
2006-12-01,4.0
2006-12-04,-0.9615
2006-12-05,-0.4854
2006-12-06,4.3902
2006-12-07,5.1402
2006-12-08,-3.5556
2006-12-11,0.9217
2006-12-12,0.4566
2006-12-13,0.0
2006-12-14,0.0
2006-12-15,0.0
2006-12-18,-3.1818
2006-12-19,3.2864
2006-12-20,0.4545
2006-12-21,0.905
2006-12-22,3.1390000000000002
2006-12-26,2.1739
2006-12-27,7.234
2006-12-28,3.1746
2006-12-29,-3.8462
2007-01-03,7.2
2007-01-04,10.0746
2007-01-05,-4.7458
2007-01-08,0.3559
2007-01-09,-3.1915
2007-01-10,4.3956
2007-01-11,-1.7544
2007-01-12,-1.7856999999999998
2007-01-16,1.0909
2007-01-17,-7.9137
2007-01-18,7.4219
2007-01-19,-1.8182
2007-01-22,-13.3333
2007-01-23,0.8547
2007-01-24,10.1695
2007-01-25,0.0
2007-01-26,3.0769
2007-01-29,0.7463
2007-01-30,-1.8519
2007-01-31,-8.6792
2007-02-01,0.4132
2007-02-02,-2.8807
2007-02-05,2.1186
2007-02-06,-2.0747
2007-02-07,14.8305
2007-02-08,5.1661
2007-02-09,4.9123
2007-02-12,0.0
2007-02-13,-5.6856
2007-02-14,4.2553
2007-02-15,7.1429
2007-02-16,11.1111
2007-02-20,-2.8571
2007-02-21,4.4118
2007-02-22,2.8169
2007-02-23,-1.9178
2007-02-26,0.5587
2007-02-27,-4.1667
