ticker,BBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-28,25.25
2004-10-29,-2.5549
2004-11-01,-3.5231
2004-11-02,0.8493
2004-11-03,2.1053
2004-11-04,7.2165
2004-11-05,1.9231
2004-11-08,-0.8679
2004-11-09,-1.2943
2004-11-10,-1.6583
2004-11-11,4.902
2004-11-12,-0.0374
2004-11-15,4.4129
2004-11-16,7.4857
2004-11-17,1.2995999999999999
2004-11-18,-1.4144999999999999
2004-11-19,-1.2346
2004-11-22,0.5068
2004-11-23,-0.6723
2004-11-24,2.1997
2004-11-26,-0.596
2004-11-29,-1.066
2004-11-30,-1.0774
2004-12-01,1.5997
2004-12-02,2.3786
2004-12-03,0.2945
2004-12-06,1.6639
2004-12-07,1.4763
2004-12-08,-3.0677
2004-12-09,-3.0995
2004-12-10,-0.9764
2004-12-13,4.2163
2004-12-14,-1.0114
2004-12-15,1.6808999999999998
2004-12-16,3.6953
2004-12-17,-1.5316999999999998
2004-12-20,0.0
2004-12-21,2.5397
2004-12-22,5.8824
2004-12-23,1.462
2004-12-27,-0.8646
2004-12-28,-0.3198
2004-12-29,0.6124
2004-12-30,1.6232
2004-12-31,0.2567
2005-01-03,-3.3286
2005-01-04,-3.1783
2005-01-05,3.8906
2005-01-06,-0.7314
2005-01-07,0.0884
2005-01-10,2.0907
2005-01-11,-0.2596
2005-01-12,0.6362
2005-01-13,0.3161
2005-01-14,0.5729
2005-01-18,2.8767
2005-01-19,-0.2769
2005-01-20,-1.2771
2005-01-21,0.6187
2005-01-24,-2.18
2005-01-25,0.0286
2005-01-26,5.3985
2005-01-27,-11.1924
2005-01-28,-5.2487
2005-01-31,0.2899
2005-02-01,0.6101
2005-02-02,7.405
2005-02-03,0.2972
2005-02-04,-0.7407
2005-02-07,-1.9104
2005-02-08,-2.6172
2005-02-09,-0.2813
2005-02-10,4.6067
2005-02-11,-0.2996
2005-02-14,-0.3906
2005-02-15,1.5083
2005-02-16,-0.8915
2005-02-17,-0.7496
2005-02-18,0.0
2005-02-22,0.0302
2005-02-23,-0.0302
2005-02-24,0.1511
2005-02-25,0.6033
2005-02-28,2.5787
2005-03-01,2.8062
2005-03-02,1.1373
2005-03-03,1.7993000000000001
2005-03-04,-1.3532
2005-03-07,-1.5957
2005-03-08,-0.8535
2005-03-09,-7.0301
2005-03-10,-2.0679
2005-03-11,-1.1976
2005-03-14,-1.563
2005-03-15,3.3701
2005-03-16,0.9091
2005-03-17,-0.9941
2005-03-18,-1.5689
