ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-04,15.0
2011-02-07,6.5839
2011-02-08,-2.4476
2011-02-09,-2.1505
2011-02-10,-2.3199
2011-02-11,3.75
2011-02-14,2.1687
2011-02-15,0.0
2011-02-16,-0.4717
2011-02-17,-0.5924
2011-02-18,-1.1919
2011-02-22,-0.3619
2011-02-23,-2.5423999999999998
2011-02-24,2.2359999999999998
2011-02-25,2.7946999999999997
2011-02-28,1.0638
2011-03-01,-0.117
2011-03-02,1.8735
2011-03-03,0.0
2011-03-04,-0.1149
2011-03-07,-1.0357
2011-03-08,1.6279
2011-03-09,0.4577
2011-03-10,3.5308
2011-03-11,-10.8911
2011-03-14,-2.963
2011-03-15,-1.9083999999999999
2011-03-16,9.987
2011-03-17,-2.1226
2011-03-18,-0.6024
2011-03-21,-0.7273
2011-03-22,1.9536
2011-03-23,0.0
2011-03-24,-2.7545
2011-03-25,-1.3547
2011-03-28,2.9962999999999997
2011-03-29,-3.0303
2011-03-30,-2.125
2011-03-31,-1.5326
2011-04-01,0.5188
2011-04-04,2.3226
2011-04-05,0.8827
2011-04-06,2.5
2011-04-07,0.0
2011-04-08,0.8537
2011-04-11,-3.6276
2011-04-12,2.8858
2011-04-13,1.2195
2011-04-14,-4.8193
2011-04-15,2.7848
2011-04-18,-4.9261
2011-04-19,0.3886
2011-04-20,0.3871
2011-04-21,2.1851
2011-04-25,0.3774
2011-04-26,3.2580999999999998
2011-04-27,-2.0631
2011-04-28,-4.5849
2011-04-29,-1.039
2011-05-02,-2.231
2011-05-03,0.6711
2011-05-04,-1.3333
2011-05-05,0.9459
2011-05-06,-1.7403
2011-05-09,-0.4087
2011-05-10,2.052
2011-05-11,-2.1448
2011-05-12,2.3288
2011-05-13,-2.1419
2011-05-16,-0.1368
2011-05-17,0.137
2011-05-18,2.1888
2011-05-19,-1.6064
2011-05-20,-0.6803
2011-05-23,-0.274
2011-05-24,-4.533
2011-05-25,2.7338
2011-05-26,1.5406
2011-05-27,0.6897
2011-05-31,-0.6849
2011-06-01,-7.5862
2011-06-02,-0.4478
2011-06-03,-10.794599999999999
2011-06-06,-7.2269
2011-06-07,0.7246
2011-06-08,0.0
2011-06-09,12.4101
2011-06-10,-3.04
2011-06-13,2.3102
2011-06-14,3.0645
2011-06-15,-3.5994
2011-06-16,5.3571
2011-06-17,-3.698
2011-06-20,-0.64
2011-06-21,16.1031
2011-06-22,-5.9639
2011-06-23,3.8348
2011-06-24,9.233
