ticker,BKOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-12,-3.8679
2007-06-13,-0.4992
2007-06-14,1.3625
2007-06-15,0.0011
2007-06-18,-7.3543
2007-06-20,7.9368
2007-06-21,0.4496
2007-06-25,-2.5893
2007-06-26,1.9247999999999998
2007-06-27,0.7194
2007-06-28,-0.8929
2007-06-29,-1.7117
2007-07-02,2.7773
2007-07-03,-0.1159
2007-07-12,-1.7856999999999998
2007-07-13,0.0
2007-07-16,-0.4545
2007-07-17,-1.5525
2007-07-18,-1.5109
2007-07-20,-1.1032
2007-07-24,1.4476
2007-07-26,-1.427
2007-07-27,4.6667
2007-07-31,-0.091
2007-08-03,-8.9253
2007-08-08,1.1
2007-08-13,-1.088
2007-08-14,0.1
2007-08-20,1.3986
2007-08-21,0.9852
2007-08-22,-0.2341
2007-08-23,-0.742
2007-08-24,0.984
2007-08-27,-2.439
2007-08-28,1.1
2007-08-29,-1.088
2007-08-30,0.0
2007-09-04,2.7
2007-09-07,0.0
2007-09-11,0.2921
2007-09-12,0.0
2007-09-19,0.0012
2007-09-20,0.29
2007-09-21,-0.2904
2007-09-28,4.3689
2007-10-01,-1.3953
2007-10-02,0.9434
2007-10-04,-0.4673
2007-10-09,0.939
2007-10-12,-0.9302
2007-10-15,0.0
2007-10-18,0.0
2007-10-23,-6.1033
2007-10-24,1.0
2007-10-26,0.0
2007-10-31,-1.4851
2007-11-01,-4.0201
2007-11-02,-5.6545
2007-11-05,3.2186
2007-11-07,-3.2258
2007-11-09,2.7778
2007-11-12,-1.0811
2007-11-15,0.0
2007-11-21,1.0929
2007-11-26,2.5946
2007-11-27,0.1054
2007-11-28,5.0526
2007-11-30,-7.8156
2007-12-10,4.3478
2007-12-11,-2.0846
2007-12-12,-2.1264
2007-12-13,0.1087
2007-12-14,4.2345
2007-12-17,-3.6458
2007-12-18,-0.5392
2007-12-21,-0.0014
2008-01-03,8.6957
2008-01-08,-2.0
2008-01-10,-6.1212
2008-01-11,-2.1739
2008-01-15,2.2208
2008-01-16,3.8043
2008-01-28,-3.6649000000000003
2008-01-30,0.0
2008-02-05,1.087
2008-02-11,0.5376
2008-02-13,-1.0695000000000001
2008-02-21,1.0811
2008-02-26,5.8824
2008-02-27,-0.0013
2008-02-28,6.0619
2008-03-03,0.0
2008-03-04,-3.8095
2008-03-10,3.9592
2008-03-24,-9.9989
2008-03-25,1.5873
2008-04-02,1.5625
2008-04-08,1.0267
2008-04-11,-0.001
2008-04-14,-1.0152
