ticker,BLKCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-04,0.4739
2012-01-27,0.9434
2012-02-07,0.4673
2012-02-13,0.0
2012-07-10,-8.8468
2012-07-24,13.6364
2012-08-31,-8.0
2012-10-02,-2.1739
2012-10-05,7.7778
2013-05-03,-34.0206
2013-05-13,-21.875
2013-05-16,8.0
2013-09-23,-34.7222
2013-10-21,-9.2199
2013-10-30,-6.25
2013-11-08,0.0
2013-12-02,-13.3333
2013-12-16,26.9231
2014-01-22,21.9697
2014-10-14,-48.8909
2015-07-13,-63.3681
2016-05-12,-50.7109
2016-05-16,3.8462
2016-06-17,-2.7778
2016-12-14,335.7143
2017-03-31,449.071
2017-04-12,81.5287
2017-04-13,5.7895
2017-05-12,-50.2488
2017-07-24,-31.3667
2017-08-09,50.17
2017-08-18,4.4631
2017-08-21,7.9257
2017-09-15,144.1193
2017-09-18,-4.7004
2017-09-21,1.603
2017-09-27,17.5971
2017-10-02,31.0114
2017-10-04,25.2383
2017-10-05,-2.5096
2017-10-06,23.3484
2017-10-09,8.2693
2017-10-10,13.1594
2017-10-11,-9.8873
2017-10-12,-5.5524000000000004
2017-10-13,3.5263
2017-10-16,-1.6425
2017-10-17,-17.734
2017-10-18,-8.562899999999999
2017-10-19,16.7191
2017-10-20,22.0502
2017-10-23,10.6698
2017-10-24,-8.4282
2017-10-25,0.4083
2017-10-26,-7.9963999999999995
2017-10-27,-14.0781
2017-10-30,9.7668
2017-10-31,-2.5824
2017-11-01,-5.5048
2017-11-02,-2.432
2017-11-03,30.4272
2017-11-06,8.2089
2017-11-07,-6.929
2017-11-08,-1.1474
2017-11-09,3.0759
2017-11-10,-2.1179
2017-11-13,-6.9912
2017-11-14,-5.0238
2017-11-15,6.091
2017-11-16,-3.7157999999999998
2017-11-17,-2.8882
2017-11-20,2.141
2017-11-21,-6.1005
2017-11-22,-4.1803
2017-11-24,-0.011
2017-11-27,10.8858
2017-11-28,-1.289
2017-11-29,-5.6574
2017-11-30,-4.2518
2017-12-01,1.7062
2017-12-04,12.693999999999999
2017-12-05,-7.0989
2017-12-06,-3.8624
2017-12-07,-0.6678
2017-12-08,-4.7333
2017-12-11,6.7126
2017-12-12,12.3441
2017-12-13,-4.6085
2017-12-14,-5.5085
2017-12-15,1.9379
2017-12-18,-5.5156
2017-12-19,0.8765
2017-12-20,-6.5628
2017-12-21,3.468
2017-12-22,-6.7375
2017-12-26,9.0909
2017-12-27,-8.3333
2017-12-28,-6.6667
