ticker,BUSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-18,35.3846
2007-05-21,0.5682
2007-05-22,-6.7797
2007-05-23,0.6061
2007-05-24,-0.6024
2007-05-25,0.0
2007-05-29,-0.6061
2007-05-30,-2.439
2007-05-31,1.25
2007-06-01,0.0
2007-06-04,0.0
2007-06-05,0.6173
2007-06-06,-4.908
2007-06-07,-2.5806
2007-06-08,-0.6623
2007-06-12,0.0
2007-06-13,-3.3333
2007-06-14,-2.069
2007-06-15,5.6338
2007-06-19,0.0
2007-06-20,-3.3333
2007-06-22,0.0
2007-06-26,-2.069
2007-06-29,-4.9296
2007-07-03,0.0
2007-07-05,3.7037
2007-07-06,0.0
2007-07-09,0.0
2007-07-10,-0.7143
2007-07-11,0.7194
2007-07-12,7.1429
2007-07-13,-5.3333
2007-07-16,9.1549
2007-07-17,8.3871
2007-07-19,4.1667
2007-07-20,-5.7143
2007-07-24,0.0
2007-07-25,0.0
2007-07-26,-7.8788
2007-07-27,-4.6053
2007-07-30,5.5172
2007-07-31,-5.2288
2007-08-03,0.0
2007-08-09,0.0
2007-08-13,0.0
2007-08-14,-3.4483
2007-08-15,-0.7143
2007-08-16,-2.1583
2007-08-17,-0.7353
2007-08-20,0.0
2007-08-21,-3.7037
2007-08-23,0.0
2007-08-27,-15.3846
2007-08-28,0.0
2007-08-31,1.8182
2007-09-04,-1.7856999999999998
2007-09-07,1.8182
2007-09-10,2.6786
2007-09-11,4.3478
2007-09-13,-5.0
2007-09-14,24.5614
2007-09-17,-3.5211
2007-09-18,-1.4599
2007-09-19,0.0
2007-09-20,3.7037
2007-09-21,7.1429
2007-09-24,-6.6667
2007-09-25,8.5714
2007-09-26,-4.6053
2007-09-28,0.0
2007-10-01,6.8966
2007-10-02,-9.6774
2007-10-03,7.1429
2007-10-04,-3.3333
2007-10-05,-7.5862
2007-10-08,4.4776
2007-10-09,-7.1429
2007-10-10,-7.6923
2007-10-11,-1.6667
2007-10-12,1.6949
2007-10-15,20.8333
2007-10-16,-13.7931
2007-10-17,-4.0
2007-10-18,-0.8333
2007-10-19,9.2437
2007-10-22,-15.3846
2007-10-23,2.7273
2007-10-24,2.6549
2007-10-25,-6.0345
2007-10-26,0.0
2007-10-29,0.9174
2007-10-31,-1.8182
2007-11-01,1.8519
2007-11-02,0.0
2007-11-05,13.6364
2007-11-06,-9.6
2007-11-07,7.9646
2007-11-08,-1.6393
2007-11-09,4.1667
2007-11-12,0.0
2007-11-13,-8.0
