ticker,BWVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-05,0.0
2007-06-07,40.0
2007-06-18,-28.5714
2007-07-11,-12.0
2007-08-01,-18.1818
2007-09-05,-44.4444
2007-09-19,-40.0
2007-10-04,233.3333
2007-11-12,150.0
2007-11-14,-40.0
2007-11-28,33.3333
2007-11-29,0.0
2007-12-05,0.0
2007-12-19,27.5
2007-12-26,0.0
2007-12-27,0.0
2007-12-28,47.0588
2008-01-02,-32.0
2008-01-09,-1.9607999999999999
2008-02-07,-10.0
2008-02-08,11.1111
2008-02-13,20.0
2008-02-22,0.0
2008-02-25,8.3333
2008-03-20,-53.8462
2008-03-24,0.0
2008-03-25,-16.6667
2008-03-26,-28.0
2008-03-28,-5.5556
2008-04-17,-11.7647
2008-04-24,-33.3333
2008-04-28,30.0
2008-04-29,0.0
2008-05-15,30.7692
2008-05-28,-41.1765
2008-07-21,50.0
2008-07-28,-33.3333
2008-08-18,-50.0
2008-09-03,0.0
2008-09-04,-20.0
2008-09-08,25.0
2008-09-18,100.0
2008-09-23,0.0
2008-09-30,20.0
2008-10-01,-8.3333
2008-10-29,-63.6364
2008-11-12,-25.0
2008-12-05,-90.0
2008-12-08,0.0
2008-12-09,0.0
2008-12-17,566.6667
2009-02-09,-75.0
2009-02-23,-40.0
2010-10-20,-86.6667
2011-01-05,0.625
2011-03-22,1639.1304
2011-04-04,0.0
2011-06-09,45.7143
2011-06-22,0.0
2011-11-17,0.0
2011-12-14,0.0
2012-01-04,98.0392
2012-01-06,-49.505
2012-04-02,0.0
2012-04-30,7.8431
2012-05-07,-9.0909
2012-07-12,-16.0
2012-09-04,0.0
2012-09-06,140.4762
2012-11-12,0.0
2012-12-05,-58.4158
2012-12-06,-40.4762
2012-12-07,40.0
2012-12-11,48.5714
2012-12-13,5.7692
2012-12-17,92.7273
2012-12-18,-4.717
2012-12-20,-40.5941
2012-12-21,-31.6667
2012-12-24,-24.3902
2012-12-26,24.1935
2012-12-27,-1.2987
2012-12-28,-7.8947
2013-01-02,-5.7143
2013-01-03,21.2121
2013-01-04,0.0
2013-01-07,-17.25
2013-01-08,0.0
2013-01-09,-3.3233
2013-01-10,-6.25
2013-01-24,33.3333
2013-01-29,85.0
2013-01-30,-40.5405
2013-01-31,2.2727
2013-02-01,11.0
2013-02-07,-9.9099
2013-02-15,11.1111
2013-02-19,2.0
2013-02-21,0.0
2013-02-27,-21.5686
2013-02-28,35.0
2013-03-01,11.1111
2013-03-04,8.3333
