ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-01,-34.4262
2005-08-02,6.25
2005-08-03,5.8824
2005-08-08,0.0
2005-08-09,6.6667
2005-08-17,-6.25
2005-08-18,-10.0
2005-08-26,4.9383
2005-09-08,5.8824
2005-09-09,0.0
2005-09-12,-3.3333
2005-09-13,13.7931
2005-09-14,5.6566
2005-09-15,-0.956
2005-09-16,-8.3012
2005-09-19,-1.8947
2005-09-20,-0.2146
2005-09-21,-0.2151
2005-09-22,0.0
2005-09-23,-10.5603
2005-09-26,-4.0964
2005-09-27,-0.7538
2005-09-28,4.3038
2005-09-29,2.6699
2005-09-30,-0.4728
2005-10-03,-1.4252
2005-10-04,-2.4096
2005-10-05,2.4691
2005-10-06,-3.6145
2005-10-07,-0.25
2005-10-10,-1.0025
2005-10-11,-15.1899
2005-10-12,-10.4478
2005-10-13,13.3333
2005-10-14,-6.1765
2005-10-17,-2.8213
2005-10-18,-4.8387
2005-10-19,-1.6949
2005-10-20,-13.7931
2005-10-21,-12.0
2005-10-24,29.5455
2005-10-25,-1.7544
2005-10-27,-3.5714
2005-10-28,-7.4074
2005-10-31,-56.0
2005-11-01,-31.8182
2005-11-02,38.6667
2005-11-03,8.6538
2005-11-04,0.0
2005-11-07,0.0
2005-11-08,-2.6549
2005-11-09,0.0
2005-11-10,-2.7273
2005-11-11,-1.8692
2005-11-14,-4.7619
2005-11-15,-5.0
2005-11-16,-6.3158
2005-11-17,-10.1124
2005-11-18,0.0
2005-11-21,0.0
2005-11-22,0.0
2005-11-23,0.0
2005-11-25,-12.5
2005-11-28,0.0
2005-11-30,-7.1429
2005-12-01,0.0
2005-12-02,-10.7692
2005-12-05,-6.8966
2005-12-06,-5.5556
2005-12-07,0.0
2005-12-08,-25.4902
2005-12-09,23.6842
2005-12-12,-4.2553
2005-12-13,0.0
2005-12-14,-6.6667
2005-12-15,9.5238
2005-12-16,10.8696
2005-12-19,-19.6078
2005-12-21,7.3171
2005-12-22,-6.8182
2005-12-23,9.7561
2005-12-27,-11.1111
2005-12-28,0.0
2005-12-29,-12.5
2005-12-30,0.0
2006-01-03,0.0
2006-01-04,14.2857
2006-01-06,-10.0
2006-01-09,8.3333
2006-01-18,-2.5641
2006-01-23,-7.8947
2006-01-24,0.0
2006-01-26,-11.4286
2006-01-27,6.4516
2006-01-30,6.0606
2006-02-01,20.0
2006-02-02,0.0
2006-02-03,19.0476
2006-02-06,-4.0
2006-02-07,-6.25
2006-02-10,-8.8889
