ticker,CHSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-17,6.6667
2007-07-18,-8.75
2007-07-25,-24.6575
2007-07-26,36.3636
2007-07-31,-6.6667
2007-08-01,257.1429
2007-08-03,-76.8
2007-08-06,27.5862
2007-08-07,-32.4324
2007-08-08,4.0
2007-08-09,-3.8462
2007-08-10,-24.0
2007-08-13,18.4211
2007-08-14,22.2222
2007-08-15,-20.0
2007-08-16,4.5455
2007-08-17,4.3478
2007-08-20,27.0833
2007-08-21,4.918
2007-08-22,-6.25
2007-08-23,5.0
2007-08-24,-1.5873
2007-08-27,-3.2258
2007-08-28,0.0
2007-08-29,-15.0
2007-08-30,7.8431
2007-08-31,9.0909
2007-09-04,-13.1875
2007-09-05,13.2709
2007-09-06,-10.1695
2007-09-07,9.434
2007-09-10,-13.7931
2007-09-11,16.0
2007-09-12,-31.0345
2007-09-13,7.5
2007-09-14,13.9535
2007-09-17,-14.2857
2007-09-18,0.0
2007-09-19,-2.3810000000000002
2007-09-20,0.0
2007-09-21,-2.439
2007-09-24,0.0
2007-09-25,7.5
2007-09-26,-26.860500000000002
2007-09-27,11.2878
2007-09-28,-22.8571
2007-10-01,3.7037
2007-10-02,-17.8571
2007-10-03,23.913
2007-10-04,-22.807
2007-10-05,-9.0909
2007-10-08,10.0
2007-10-09,-9.0909
2007-10-10,5.0
2007-10-11,-2.3810000000000002
2007-10-12,2.439
2007-10-15,-9.5238
2007-10-16,-5.2632
2007-10-17,5.5556
2007-10-18,0.0
2007-10-19,5.2632
2007-10-23,-10.0
2007-10-24,5.5556
2007-10-25,0.0
2007-10-26,-15.7895
2007-10-30,50.0
2007-10-31,-12.4479
2007-11-01,-2.439
2007-11-02,-17.0732
2007-11-05,-5.8824
2007-11-06,0.0
2007-11-08,12.5
2007-11-09,-5.5556
2007-11-12,-23.5294
2007-11-13,5.3846
2007-11-14,-5.1095
2007-11-15,-7.6923
2007-11-16,-8.3333
2007-11-20,-22.7273
2007-11-21,41.1765
2007-11-23,-8.3333
2007-11-26,0.0
2007-11-27,27.2727
2007-11-28,-28.5714
2007-11-29,10.0
2007-11-30,-9.0909
2007-12-03,10.0
2007-12-05,27.2727
2007-12-06,-7.1429
2007-12-07,7.6923
2007-12-10,0.0
2007-12-11,0.0
2007-12-12,7.1429
2007-12-13,0.0
2007-12-14,-6.6667
2007-12-17,0.0
2007-12-18,0.0
2007-12-19,0.0
2007-12-20,0.0
2007-12-21,0.0
2007-12-24,0.0
2007-12-26,0.0
