ticker,CTRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-30,20.0686
2014-06-02,2.8571
2014-06-03,-4.3519
2014-06-04,-15.8761
2014-06-05,4.1427
2014-06-06,-2.3757
2014-06-09,-1.9808
2014-06-10,-1.8476
2014-06-11,-0.8235
2014-06-12,-1.0083
2014-06-13,3.3553
2014-06-16,1.971
2014-06-17,2.3309
2014-06-18,1.1111
2014-06-19,0.3846
2014-06-20,4.6524
2014-06-23,-1.3598
2014-06-24,-0.2651
2014-06-25,1.8607
2014-06-26,-0.7307
2014-06-27,1.2618
2014-06-30,2.8037
2014-07-01,0.101
2014-07-02,-0.0505
2014-07-03,0.4543
2014-07-07,-1.8593
2014-07-08,-2.0993
2014-07-09,-0.6276
2014-07-10,-2.4737
2014-07-11,-1.7809
2014-07-14,0.1099
2014-07-15,-3.4577
2014-07-16,0.5117
2014-07-17,-1.2443
2014-07-18,3.1501
2014-07-21,-1.4992
2014-07-22,0.6764
2014-07-23,-0.8959
2014-07-24,-0.6215
2014-07-25,0.5117
2014-07-28,0.7353
2014-07-29,-1.7967
2014-07-30,-0.9148
2014-07-31,-1.558
2014-08-01,-2.4032999999999998
2014-08-04,-2.042
2014-08-05,-5.2115
2014-08-06,-1.7464
2014-08-07,0.2633
2014-08-08,0.394
2014-08-11,-0.3924
2014-08-12,1.3132
2014-08-13,1.6202
2014-08-14,3.0612
2014-08-15,4.5173
2014-08-18,2.7235
2014-08-19,1.4986
2014-08-20,0.1136
2014-08-21,-0.7374
2014-08-22,0.4571
2014-08-25,-0.4551
2014-08-26,0.1143
2014-08-27,-0.0571
2014-08-28,0.5711
2014-08-29,-0.795
2014-09-02,0.0
2014-09-03,-0.8586
2014-09-04,0.1732
2014-09-05,0.0576
2014-09-08,1.5553
2014-09-09,-2.0987
2014-09-10,1.2167
2014-09-11,-2.5186
2014-09-12,-2.5837
2014-09-15,-3.9783
2014-09-16,-2.9504
2014-09-17,-2.1345
2014-09-18,0.8592
2014-09-19,0.2621
2014-09-22,-1.0458
2014-09-23,-2.0476
2014-09-24,-1.0115
2014-09-25,-1.158
2014-09-26,-1.3784
2014-09-29,-0.0699
2014-09-30,0.0
2014-10-01,-1.3986
2014-10-02,0.2837
2014-10-03,-0.3536
2014-10-06,-0.6388
2014-10-07,-1.0
2014-10-08,-0.1443
2014-10-09,-1.1561
2014-10-10,-1.8275000000000001
2014-10-13,4.3931000000000004
2014-10-14,4.4936
2014-10-15,-0.9556
2014-10-16,-0.827
