ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-06,-0.7143
2006-10-09,0.3357
2006-10-10,0.3824
2006-10-11,-0.2857
2006-10-12,-0.3343
2006-10-13,-0.4312
2006-10-16,-0.6737
2006-10-17,-0.4845
2006-10-18,-0.1947
2006-10-19,0.4878
2006-10-20,-0.7282
2006-10-23,-1.5159
2006-10-24,0.7944
2006-10-25,0.0493
2006-10-26,-0.0492
2006-10-27,0.0
2006-10-30,-0.197
2006-10-31,1.4314
2006-11-01,-1.2165
2006-11-02,1.0836999999999999
2006-11-03,-1.0721
2006-11-06,-0.4926
2006-11-07,-0.0495
2006-11-08,-0.4458
2006-11-09,-0.4975
2006-11-10,0.25
2006-11-13,0.4988
2006-11-14,0.2481
2006-11-15,2.4752
2006-11-16,0.5797
2006-11-17,0.0
2006-11-20,1.3929
2006-11-21,2.0369
2006-11-22,1.2999
2006-11-24,0.275
2006-11-27,-0.3656
2006-11-28,-0.2752
2006-11-29,1.196
2006-11-30,1.9091
2006-12-01,-0.0892
2006-12-04,-0.5804
2006-12-05,0.6736
2006-12-06,-0.1784
2006-12-07,0.8937
2006-12-08,2.7458
2006-12-11,1.2931
2006-12-12,1.0638
2006-12-13,0.6316
2006-12-14,0.2929
2006-12-15,0.0834
2006-12-18,-1.4173
2006-12-19,0.6342
2006-12-20,-0.2101
2006-12-21,0.0
2006-12-22,0.2105
2006-12-26,-0.6303
2006-12-27,0.9725
2006-12-28,0.1256
2006-12-29,0.0836
2007-01-03,-0.5433
2007-01-04,0.4202
2007-01-05,-1.1297
2007-01-08,1.1003
2007-01-09,0.0419
2007-01-10,-0.8368
2007-01-11,0.5485
2007-01-12,1.175
2007-01-16,0.871
2007-01-17,2.0559
2007-01-18,0.0806
2007-01-19,-0.7649
2007-01-22,0.3245
2007-01-23,1.1322
2007-01-24,0.8796
2007-01-25,-2.1799
2007-01-26,-1.8152
2007-01-29,1.7647
2007-01-30,0.1239
2007-01-31,-0.4124
2007-02-01,-2.2774
2007-02-02,1.0169
2007-02-05,-0.0419
2007-02-06,0.2098
2007-02-07,-0.6281
2007-02-08,0.1686
2007-02-09,-0.7573
2007-02-12,0.0
2007-02-13,0.8902
2007-02-14,0.5462
2007-02-15,0.5015
2007-02-16,0.4158
2007-02-20,2.4431
2007-02-21,-0.2021
2007-02-22,1.1341
2007-02-23,-0.9211
2007-02-26,-1.3743
2007-02-27,-4.7131
2007-02-28,1.8925
2007-03-01,1.9417
2007-03-02,1.2836
