ticker,DIMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.8621
2000-01-06,11.9658
2000-01-11,-8.3969
2000-01-12,-3.3333
2000-01-13,1.2931
2000-01-14,11.4894
2000-01-20,0.0
2000-01-21,0.0
2000-01-26,-6.8702
2000-01-28,-11.4754
2000-02-01,-6.0185
2000-02-02,12.3153
2000-02-03,-12.2807
2000-02-08,4.0
2000-02-10,-1.9231
2000-02-14,13.7255
2000-02-15,0.0
2000-02-16,3.4483
2000-02-24,-11.6667
2000-03-01,14.1509
2000-03-02,-19.0083
2000-03-03,-1.5306
2000-03-06,-0.5181
2000-03-07,8.3333
2000-03-08,4.8077
2000-03-15,-11.9266
2000-03-16,13.5417
2000-03-21,-4.5872
2000-03-28,-7.6923
2000-03-30,1.2658
2000-03-31,8.3333
2000-04-04,-3.8462
2000-04-05,4.0
2000-04-10,-11.538499999999999
2000-04-13,0.0
2000-04-17,9.7826
2000-04-18,16.8317
2000-04-20,-11.8644
2000-05-01,0.9615
2000-05-02,5.7143
2000-05-08,-5.4054
2000-05-11,-0.9524
2000-05-22,0.9615
2000-05-25,-2.8571
2000-05-26,3.9215999999999998
2000-06-14,1.8868
2000-06-15,-2.7778
2000-06-26,0.9524
2000-07-14,3.0534
2000-07-18,-2.5463
2000-07-20,1.1876
2000-07-28,9.8592
2000-08-03,-1.7094
2000-08-14,-1.7391
2000-08-24,0.354
2000-09-11,-3.8801
2000-09-13,8.2569
2000-09-14,-3.3898
2000-09-26,0.0
2000-09-28,-0.7092
2000-10-09,0.0
2000-10-13,1.7856999999999998
2000-10-20,-1.7544
2000-10-25,3.5714
2000-11-06,1.7241
2000-11-08,-2.5423999999999998
2000-11-09,1.3043
2000-11-10,1.2876
2000-11-30,-4.2373
2000-12-05,0.0
2000-12-06,2.6549
2000-12-14,-1.7241
2000-12-15,0.4386
2000-12-21,0.0
2000-12-29,1.2378
2001-01-04,2.1834
2001-01-05,0.8547
2001-01-08,0.0
2001-01-10,0.0
2001-01-12,0.0
2001-01-19,0.0
2001-01-22,-1.6949
2001-01-24,0.2155
2001-01-29,1.5053999999999998
2001-01-31,0.8475
2001-02-06,-1.6806999999999999
2001-02-09,2.5641
2001-02-12,-0.4167
2001-02-15,0.4184
2001-02-27,-2.5
2001-02-28,3.4188
2001-03-09,-0.8264
2001-03-12,-1.25
2001-03-27,1.2658
2001-04-05,-0.0843
2001-04-06,0.0
2001-04-20,0.0844
2001-04-23,1.1804000000000001
2001-04-24,0.0
