ticker,DTRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-02,11.1111
2009-03-05,27400.0
2009-03-31,2.2727
2009-04-14,16.3832
2009-04-20,1.9231
2009-06-18,-9.434
2009-06-30,15.75
2009-07-07,-6.4075
2009-07-08,7.4615
2009-07-17,0.0
2009-08-11,-6.4075
2009-08-20,-0.6154
2009-08-25,0.6192
2009-08-26,-4.0769
2009-09-01,-10.2646
2009-09-02,-6.1662
2009-09-08,20.6667
2009-09-09,0.0
2009-09-11,-1.3418
2009-09-17,-4.0
2009-09-18,5.5833
2009-09-22,-3.3149
2009-11-17,4.7658000000000005
2009-11-19,3.9215999999999998
2009-12-07,1.8868
2010-03-08,1.022
2010-03-23,-2.7237
2010-03-26,0.0
2010-07-01,-1.3688
2010-07-02,0.0
2010-07-09,0.6574
2010-07-12,-2.0408
2010-09-03,0.0
2010-09-16,0.3333
2010-10-12,2.4247
2010-10-28,-1.8776000000000002
2010-11-19,1.9135
2010-12-10,0.0
2010-12-31,26.5969
2011-01-03,-0.7444
2011-01-04,0.0
2011-01-06,0.6667
2011-01-14,0.0
2011-01-18,0.0
2011-01-31,0.4167
2011-05-24,0.2506
2011-05-25,0.0
2011-05-26,0.0
2011-10-19,-15.1182
2011-11-23,0.2985
2011-11-29,9.127
2012-01-05,3.271
2012-01-20,0.7293
2012-02-15,-9.5023
2012-02-28,10.0
2012-03-22,-9.09
2012-03-26,-0.001
2012-03-30,0.0
2012-04-12,-1.7137
2012-04-16,-5.0
2012-05-01,0.4049
2012-05-30,-5.914
2012-06-06,42.8571
2012-06-29,-20.0
2012-07-12,6.5
2012-08-10,-11.0691
2012-09-12,11.5957
2012-10-09,-8.8386
2012-10-19,-3.0548
2012-12-19,5.9783
2012-12-27,-10.3333
2013-01-07,11.5242
2013-01-22,0.0
2013-01-23,0.0
2013-04-03,3.7778
2013-06-14,2.1505
2013-07-22,0.4228
2013-07-26,-6.1053
2013-07-30,0.8969
2013-08-05,5.0
2013-08-06,-2.1164
2013-08-26,2.1622
2013-08-29,0.0
2013-10-21,6.2699
2013-11-12,-0.5
2013-11-19,0.0
2013-11-25,3.0151
2014-01-09,-4.9951
2014-01-10,1.0309
2014-01-13,0.0
2014-02-18,-5.6122
2014-02-20,0.5405
2014-03-07,-1.3978
2014-04-02,-1.8538999999999999
2014-04-03,-2.2222
2014-04-30,-1.2557
2014-05-01,-9.8266
2014-05-02,-23.0769
2014-05-12,0.5
2014-06-10,-0.4942
2014-06-16,-0.0033
2014-06-17,-8.3267
2014-07-25,-8.9446
2014-08-07,-5.8154
2014-08-08,0.0
2014-08-11,-4.2553
2014-08-12,4.4333
2014-09-11,0.0106
2014-09-16,0.0
2014-09-30,-0.0085
2014-10-08,0.4341
2014-11-17,-9.5745
2014-12-09,11.5294
2014-12-12,0.0
2015-03-19,-3.8462
2015-03-24,-17.647100000000002
2015-03-25,10.0
2015-03-30,2.8571
2015-04-06,1.0101
2015-04-30,11.809
2015-05-08,-6.5169
2015-06-11,8.1731
2015-09-30,0.4464
2015-10-02,0.6667
2015-10-27,0.8869
2015-10-29,-12.0879
2015-11-04,0.525
2016-01-28,3.7828
2016-05-27,0.5417
2016-06-01,0.2161
2016-06-20,-0.2597
2016-09-01,2.0995
2016-10-05,0.5077
2016-12-19,8.9744
2017-03-09,19.0476
2017-03-13,-4.4422
2017-03-17,0.0
2017-06-22,0.4649
2017-06-26,-1.5814
2017-08-21,-0.3443
2017-10-27,-6.6427
2017-11-06,2.5641
2017-11-09,0.0
2017-11-27,0.0
2017-12-27,0.0
2018-01-22,19.0476
2018-02-02,-8.8889
2018-02-09,-3.6585
2018-02-21,-2.5316
2018-03-06,-7.5325
2018-03-20,8.1433
2018-03-22,-7.5275
2018-04-02,0.0
2018-05-23,-0.5678
2018-06-22,-6.2472
2018-07-20,2.1310000000000002
2018-07-23,-1.194
2018-07-25,5.7402
2018-08-14,7.1429
2018-08-27,1.6
2018-08-29,-5.5118
2018-09-17,0.0
2018-10-02,4.1667
2018-10-12,0.5362
2018-10-19,0.0
2018-11-05,0.0
2018-11-27,6.6667
2018-11-28,-0.125
2018-12-13,0.1252
2018-12-18,12.5
2019-01-02,-6.6667
2019-01-09,19.5238
2019-02-06,-25.0
2019-02-07,0.0
2019-03-12,8.3333
2019-03-13,7.6954
2019-04-05,6.5684000000000005
2019-04-17,-2.965
2019-04-18,0.0
2019-04-22,0.2014
2019-04-24,-0.201
2019-04-26,0.8333
2019-04-29,-0.8264
2019-06-10,-5.5556
2019-06-27,6.8382
2019-09-26,-21.1073
2019-09-27,2.1053
2019-10-03,0.0
2019-10-21,3.8062
2019-11-14,-0.0033
2019-11-25,0.0033
2020-01-02,6.6667
2020-01-07,0.0
2020-01-09,3.75
2020-01-23,3.2258
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,-1.5625
2020-01-30,1.5873
2020-02-10,0.0
2020-03-04,-1.5625
2020-03-19,0.0
2020-03-20,-1.5873
2020-03-23,3.2258
2020-03-24,0.0
2020-03-30,9.3719
2020-04-01,0.0029
2020-04-08,0.5714
2020-04-09,-0.5714
2020-05-12,22.1264
2020-06-29,0.0
2020-07-01,-18.1176
2020-07-06,-1.1494
2020-07-30,-3.7901
2020-07-31,-0.003
