ticker,DWIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-11-06,200.0
2003-11-10,366.6667
2003-11-11,7.1429
2003-11-18,-6.6667
2003-11-20,0.0
2003-11-26,7.1429
2004-02-10,0.0
2004-02-13,0.0
2004-02-23,0.0
2004-03-04,-6.6667
2004-03-05,7.1429
2004-03-15,-6.6667
2004-03-23,7.1429
2004-04-06,-6.6667
2004-04-28,-27.1429
2004-05-19,27.451
2004-10-06,-38.4615
2006-07-19,152.5
2006-08-24,-45.5446
2006-09-27,138.1818
2006-09-28,-21.374
2006-10-11,16.5049
2006-10-26,-45.8333
2006-11-02,30.7692
2006-11-14,-29.4118
2006-11-16,16.6667
2006-11-17,0.0
2006-11-20,0.0
2006-11-21,0.0
2006-11-27,0.0
2006-11-28,0.0
2006-11-29,0.0
2006-11-30,7.1429
2006-12-05,0.0
2006-12-06,0.0
2006-12-07,0.0
2006-12-13,0.0
2006-12-14,0.0
2007-01-18,-13.3333
2007-01-19,0.0
2007-01-22,0.0
2007-01-25,-7.6923
2007-01-31,0.0
2007-02-01,1.6667
2007-02-06,-16.3934
2007-02-08,0.0
2007-03-19,-25.4902
2007-04-02,-34.2105
2007-04-03,32.0
2007-04-04,3.0303
2007-04-05,-5.8824
2007-04-09,1.5625
2007-04-10,-7.6923
2007-04-11,-3.3333
2007-04-16,-3.4483
2007-04-18,3.5714
2007-04-19,0.0
2007-04-20,0.0
2007-04-24,-20.6897
2007-04-25,4.3478
2007-04-27,-37.5
2007-04-30,66.6667
2007-05-01,0.0
2007-05-02,-12.0
2007-05-03,0.0
2007-05-07,-9.0909
2007-05-14,0.0
2007-05-15,-15.0
2007-05-16,0.0
2007-05-17,47.0588
2007-05-21,8.0
2007-05-23,0.0
2007-05-25,-3.7037
2007-05-29,-3.8942
2007-05-30,-3.952
2007-05-31,-4.1667
2007-06-01,8.6957
2007-06-04,4.0
2007-06-05,7.6923
2007-06-06,3.5714
2007-06-07,10.3448
2007-06-08,-6.25
2007-06-11,-3.3333
2007-06-12,-6.8966
2007-06-13,-7.4074
2007-06-14,8.0
2007-06-15,3.7037
2007-06-18,3.5714
2007-06-19,0.0
2007-06-20,0.0
2007-06-21,-6.8966
2007-06-22,3.7037
2007-06-25,0.0
2007-06-26,0.0
2007-06-27,-3.5714
2007-07-02,-7.4074
2007-07-03,4.0
2007-07-06,3.8462
2007-07-09,-7.4074
2007-07-10,-4.0
2007-07-11,-8.3333
2007-07-19,0.0
2007-07-23,13.6364
