ticker,EFOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-22,0.0
2006-12-27,0.0
2007-01-11,0.0
2007-01-25,0.0
2007-02-07,0.0
2007-02-26,0.0
2007-03-12,0.0
2007-03-16,0.0
2007-03-21,0.0
2007-03-27,0.0
2007-03-28,0.0
2007-04-23,700.0
2007-05-01,-87.5
2007-07-03,0.0
2007-07-12,0.0
2007-07-24,0.0
2007-07-30,0.0
2007-08-22,0.0
2007-08-28,0.0
2007-09-11,0.0
2007-09-20,0.0
2007-09-25,0.0
2007-10-04,0.0
2007-10-15,0.0
2007-10-23,0.0
2007-10-25,0.0
2007-10-26,0.0
2007-10-30,0.0
2007-11-02,0.0
2007-11-07,0.0
2007-11-09,0.0
2007-11-12,150.0
2007-11-14,-60.0
2007-11-23,0.0
2007-11-26,0.0
2007-11-27,150.0
2007-12-14,-60.0
2007-12-20,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-03,0.0
2008-01-11,0.0
2008-01-17,0.0
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,7900.0
2008-02-12,100.0
2008-02-13,-99.375
2008-02-21,0.0
2008-02-25,50.0
2008-03-17,-33.3333
2008-04-01,0.0
2008-04-09,150.0
2008-04-22,-60.0
2008-05-01,0.0
2008-05-02,300.0
2008-05-06,-37.5
2008-05-15,-60.0
2008-05-19,0.0
2008-06-03,0.0
2008-06-06,0.0
2008-06-17,0.0
2008-06-25,0.0
2008-07-08,15900.0
2008-07-10,-99.375
2008-07-14,0.0
2008-07-28,0.0
2008-08-21,0.0
2008-09-05,0.0
2008-09-25,0.0
2008-11-21,0.0
2008-11-24,0.0
2008-12-30,0.0
2008-12-31,0.0
2009-01-06,0.0
2009-01-08,0.0
2009-01-30,0.0
2009-03-04,0.0
2009-03-19,700.0
2009-03-23,-87.5
2009-03-24,0.0
2009-03-25,7900.0
2009-03-30,0.0
2009-04-03,-50.0
2009-04-06,0.0
2009-04-09,20.0
2009-04-16,66.6667
2009-04-17,300.0
2009-04-21,0.0
2009-04-22,50.0
2009-04-27,150.0
2009-04-28,33.3333
2009-04-29,5.0
2009-04-30,4.7619
2009-05-01,-50.0
2009-05-04,36.3636
2009-05-05,13.3333
2009-05-06,-5.8824
2009-05-08,6.25
2009-05-15,-5.8824
2009-05-18,-12.5
2009-05-19,-7.1429
2009-05-20,15.3846
2009-05-22,0.0
2009-05-26,-13.3333
2009-05-27,0.0
2009-05-28,-7.6923
2009-05-29,-8.3333
2009-06-01,-18.1818
