ticker,ENTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-29,0.3185
2018-07-02,5.5556
2018-07-03,0.0015
2018-07-05,-2.1067
2018-07-06,1.3825
2018-07-09,0.7576
2018-07-10,0.7519
2018-07-11,-1.4925
2018-07-12,0.7576
2018-07-13,-0.5414
2018-07-16,-3.2356
2018-07-17,0.7813
2018-07-18,-2.0155
2018-07-19,-5.538
2018-07-23,4.6901
2018-07-24,-5.12
2018-07-25,-9.6121
2018-07-26,9.1418
2018-07-27,-5.2991
2018-07-30,-9.7473
2018-07-31,7.998
2018-08-01,7.3353
2018-08-02,-12.3602
2018-08-03,9.8512
2018-08-06,-9.4982
2018-08-07,8.3168
2018-08-08,-7.6782
2018-08-09,-1.9802
2018-08-10,10.101
2018-08-13,-3.8532
2018-08-14,-4.5802
2018-08-15,0.8
2018-08-16,5.1587
2018-08-17,-3.7736
2018-08-20,-2.9412000000000003
2018-08-21,0.6061
2018-08-22,-7.8313
2018-08-23,-1.9607999999999999
2018-08-24,4.4444
2018-08-27,-1.0638
2018-08-28,-3.2258
2018-08-29,4.2222
2018-08-30,0.2132
2018-08-31,14.8936
2018-09-04,0.0
2018-09-05,-3.3333
2018-09-06,13.0268
2018-09-07,-4.3915
2018-09-10,-15.9709
2018-09-11,5.4852
2018-09-12,-2.0
2018-09-13,2.2449
2018-09-14,2.3872
2018-09-17,0.0097
2018-09-20,2.3372
2018-09-21,-0.1905
2018-09-24,-2.6718
2018-09-25,6.8627
2018-09-26,0.5505
2018-09-27,-1.4599
2018-09-28,7.5926
2018-10-01,-12.9088
2018-10-02,12.6482
2018-10-03,2.2807
2018-10-04,0.0
2018-10-05,0.3431
2018-10-09,-10.0855
2018-10-10,-3.9924
2018-10-11,7.9208
2018-10-12,-0.4404
2018-10-15,4.1283
2018-10-16,-0.531
2018-10-18,0.9609
2018-10-19,0.8795
2018-10-22,-0.0681
2018-10-23,-7.5175
2018-10-24,6.8053
2018-10-25,-1.3204
2018-10-26,0.6206
2018-10-29,2.4955
2018-10-30,-9.0435
2018-10-31,8.9866
2018-11-01,-3.6842
2018-11-02,-4.3716
2018-11-05,-0.9524
2018-11-06,0.9615
2018-11-07,8.5714
2018-11-08,-7.8947
2018-11-09,-0.1905
2018-11-12,-0.5725
2018-11-13,0.1612
2018-11-14,-0.9275
2018-11-15,2.5145
2018-11-21,0.0
2018-11-28,0.0
2018-11-30,0.1887
2018-12-03,-0.1883
2018-12-04,-0.566
2018-12-06,-5.3131
