ticker,EQUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-55.5556
2000-01-04,125.0
2000-01-05,-11.1111
2000-01-06,12.5
2000-01-07,0.0
2000-01-10,-55.5556
2000-01-12,124.0
2000-01-14,0.4464
2000-01-18,-33.3333
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,50.0
2000-01-24,-33.3333
2000-01-25,0.0
2000-01-26,50.0
2000-01-27,-0.4444
2000-01-28,-55.3571
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,64.0
2000-02-08,-4.878
2000-02-09,0.0
2000-02-10,-35.8974
2000-02-11,-20.0
2000-02-14,25.0
2000-02-15,124.0
2000-02-16,0.0
2000-02-17,0.4464
2000-02-18,11.1111
2000-02-22,40.0
2000-02-23,15.4286
2000-02-24,-25.7426
2000-02-25,8.3333
2000-02-28,23.0769
2000-02-29,12.5
2000-03-02,11.1111
2000-03-03,-12.0
2000-03-06,7.9545
2000-03-07,-7.3684
2000-03-08,19.3182
2000-03-09,-16.1905
2000-03-10,19.3182
2000-03-13,-23.8095
2000-03-14,-37.5
2000-03-15,0.0
2000-03-16,100.0
2000-03-20,10.0
2000-03-21,-12.7273
2000-03-22,0.0
2000-03-24,0.0
2000-03-28,0.0
2000-03-30,-8.3333
2000-03-31,0.0
2000-04-03,-4.5455
2000-04-05,-5.7143
2000-04-06,-34.3434
2000-04-07,61.5385
2000-04-10,-4.7619
2000-04-11,0.0
2000-04-17,-1.0
2000-04-18,0.0
2000-04-24,-34.3434
2000-04-25,-15.3846
2000-04-26,36.3636
2000-04-27,0.0
2000-04-28,-20.0
2000-05-01,25.0
2000-05-02,-20.0
2000-05-08,13.3333
2000-05-09,-8.0882
2000-05-10,16.8
2000-05-11,0.0
2000-05-12,-9.589
2000-05-15,0.0
2000-05-16,7.5758
2000-05-17,0.0
2000-05-18,-15.493
2000-05-19,-8.3333
2000-05-22,0.0
2000-05-23,9.0909
2000-05-24,-6.6667
2000-05-26,3.2366
2000-05-30,-4.8649000000000004
2000-05-31,7.2727
2000-06-01,69.4915
2000-06-02,0.0
2000-06-05,3.0
2000-06-06,2.9126
2000-06-07,1.8868
2000-06-08,5.5556
2000-06-09,0.8772
2000-06-12,0.0
2000-06-13,13.0435
2000-06-14,-7.6923
2000-06-15,8.3333
2000-06-16,-13.8462
2000-06-19,-9.8214
2000-06-20,0.0
2000-06-21,-25.7426
2000-06-26,0.0
2000-06-27,33.3333
