ticker,ETON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-13,4.1667
2018-11-14,-4.0
2018-11-15,0.8333
2018-11-16,0.8264
2018-11-19,-1.3115
2018-11-20,-0.1661
2018-11-21,0.3328
2018-11-23,0.995
2018-11-26,-0.9852
2018-11-27,0.3317
2018-11-28,8.595
2018-11-29,-5.0228
2018-11-30,1.7628
2018-12-03,-2.3622
2018-12-04,0.8065
2018-12-06,-1.6
2018-12-07,0.0
2018-12-10,-1.1381999999999999
2018-12-11,1.1513
2018-12-12,-2.1138
2018-12-13,-0.1661
2018-12-14,-0.1664
2018-12-17,8.3333
2018-12-18,2.7692
2018-12-19,-5.6886
2018-12-20,-3.3333
2018-12-21,-4.9261
2018-12-24,3.6269
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,2.0
2019-01-02,-0.3268
2019-01-03,-1.6393
2019-01-04,-4.6667
2019-01-07,4.8951
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.2067
2019-01-11,0.6254
2019-01-14,0.7686
2019-01-15,0.0574
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,1.6393
2019-01-25,0.0
2019-01-28,-3.2258
2019-01-29,3.3333
2019-01-30,0.0
2019-01-31,-1.6129
2019-02-01,6.4541
2019-02-04,-1.5523
2019-02-05,0.1111
2019-02-06,1.5625
2019-02-07,2.4615
2019-02-08,-0.3003
2019-02-11,-2.1084
2019-02-12,3.6923
2019-02-13,-2.2151
2019-02-14,-0.921
2019-02-15,3.3691
2019-02-19,10.963
2019-02-20,-2.4032
2019-02-21,-0.2736
2019-02-22,0.1372
2019-02-25,4.1096
2019-02-26,3.5526
2019-02-27,0.5083
2019-02-28,0.3729
2019-03-01,-0.4975
2019-03-04,-1.0127
2019-03-05,0.243
2019-03-06,2.0538
2019-03-07,-0.625
2019-03-08,-0.6289
2019-03-11,0.2532
2019-03-12,-0.8838
2019-03-13,-4.3312
2019-03-14,1.1984
2019-03-15,-1.3158
2019-03-18,1.3333
2019-03-19,-0.7895
2019-03-20,3.3156
2019-03-21,-0.706
2019-03-22,0.8403
2019-03-25,1.9231
2019-03-26,-4.1509
2019-03-27,-0.5249
2019-03-28,4.6174
2019-03-29,0.8827
2019-04-01,-0.625
2019-04-02,1.7610000000000001
2019-04-03,-3.3375
2019-04-04,3.5806
2019-04-05,-5.5556
2019-04-08,3.5948
2019-04-09,-4.7318999999999996
