ticker,ETRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-01,0.5128
2018-11-02,-1.5306
2018-11-05,1.0881
2018-11-06,-0.0513
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-12,1.1795
2018-11-13,5.8794
2018-11-14,6.2709
2018-11-15,-0.9459
2018-11-16,-5.0477
2018-11-19,-1.5805
2018-11-20,0.1946
2018-11-21,3.4968
2018-11-23,-0.3754
2018-11-26,1.8841
2018-11-27,1.8493
2018-11-28,1.9519
2018-11-29,2.4043
2018-11-30,-2.9565
2018-12-03,3.0914
2018-12-04,-3.8244
2018-12-06,-0.1808
2018-12-07,-0.9054
2018-12-10,-1.7816
2018-12-11,0.9767
2018-12-12,-0.9212
2018-12-13,-1.3482
2018-12-14,0.4713
2018-12-17,-3.5178000000000003
2018-12-18,-2.2363
2018-12-19,1.1934
2018-12-20,-2.113
2018-12-21,-1.255
2018-12-24,-5.999
2018-12-26,5.7869
2018-12-27,0.409
2018-12-28,-0.7637
2018-12-31,2.7193
2019-01-02,-0.05
2019-01-03,0.0
2019-01-04,3.6482
2019-01-07,-0.675
2019-01-08,0.6311
2019-01-09,2.7496
2019-01-10,-0.939
2019-01-11,-0.4265
2019-01-14,-0.3332
2019-01-15,0.3343
2019-01-16,0.9043
2019-01-17,-0.7075
2019-01-18,-0.38
2019-01-22,-1.3829
2019-01-23,0.9671
2019-01-24,-0.0958
2019-01-25,0.3835
2019-01-28,-1.5758999999999999
2019-01-29,0.4367
2019-01-30,0.3382
2019-01-31,0.2407
2019-02-01,-0.1441
2019-02-04,-0.1924
2019-02-05,-1.8795
2019-02-06,-4.5187
2019-02-07,-0.8745
2019-02-08,-1.6087
2019-02-11,-0.7384
2019-02-12,2.3379
2019-02-13,2.0768
2019-02-14,1.3733
2019-02-15,0.0
2019-02-19,2.2541
2019-02-20,-0.7515
2019-02-21,-0.8077
2019-02-22,0.916
2019-02-25,0.8573
2019-02-26,-7.55
2019-02-27,-0.5408
2019-02-28,-4.0783
2019-03-01,2.3810000000000002
2019-03-04,2.1041
2019-03-05,1.1931
2019-03-06,-1.5005
2019-03-07,3.2644
2019-03-08,-1.5279
2019-03-11,1.6585999999999999
2019-03-12,1.8420999999999998
2019-03-13,1.7054
2019-03-14,1.0163
2019-03-15,1.5594000000000001
2019-03-18,-0.1981
2019-03-19,0.4963
2019-03-20,0.5926
2019-03-21,0.7855
2019-03-22,-1.2177
2019-03-25,0.1479
2019-03-26,-0.0492
