ticker,EYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-26,26.5
2017-10-27,1.1498
2017-10-30,-0.3908
2017-10-31,2.7104
2017-11-01,5.4514
2017-11-02,-1.2511999999999999
2017-11-03,-0.967
2017-11-06,1.2458
2017-11-07,-0.0665
2017-11-08,0.5324
2017-11-09,0.0
2017-11-10,-0.2317
2017-11-13,-0.4977
2017-11-14,0.4335
2017-11-15,-0.5312
2017-11-16,0.5674
2017-11-17,-0.4978
2017-11-20,0.7005
2017-11-21,-0.2981
2017-11-22,-0.3987
2017-11-24,0.0334
2017-11-27,6.102
2017-11-28,-0.9114
2017-11-29,0.8563
2017-11-30,2.4843
2017-12-01,0.7671
2017-12-04,-0.609
2017-12-05,0.6434
2017-12-06,-0.8219
2017-12-07,0.9822
2017-12-08,0.8511
2017-12-11,5.4852
2017-12-12,0.4571
2017-12-13,-0.5973
2017-12-14,1.8026
2017-12-15,0.4778
2017-12-18,4.6713000000000005
2017-12-19,-0.294
2017-12-20,3.8596
2017-12-21,-0.6452
2017-12-22,1.9481000000000002
2017-12-26,1.0955
2017-12-27,0.0252
2017-12-28,1.9651999999999998
2017-12-29,0.3459
2018-01-02,-0.8372
2018-01-03,-0.894
2018-01-04,-0.8018
2018-01-05,-1.7429000000000001
2018-01-08,0.0257
2018-01-09,-2.4415
2018-01-10,0.2898
2018-01-11,4.5968
2018-01-12,2.7624
2018-01-16,0.6843
2018-01-17,-0.3883
2018-01-18,2.3635
2018-01-19,2.666
2018-01-22,-1.8780000000000001
2018-01-23,-3.1664
2018-01-24,-3.3919
2018-01-25,-3.6372999999999998
2018-01-26,1.8611
2018-01-29,-1.3124
2018-01-30,-2.8162000000000003
2018-01-31,4.9638
2018-02-01,0.5624
2018-02-02,-3.4062
2018-02-05,0.4211
2018-02-06,-0.2096
2018-02-07,-0.7353
2018-02-08,-5.7672
2018-02-09,0.4773
2018-02-12,-1.9559
2018-02-13,-1.4819
2018-02-14,2.1117
2018-02-15,-0.7365
2018-02-16,2.6541
2018-02-20,-0.2502
2018-02-21,0.6689
2018-02-22,-1.2735
2018-02-23,-0.4206
2018-02-26,-1.6897
2018-02-27,0.1146
2018-02-28,-1.1159
2018-03-01,-2.0255
2018-03-02,5.5227
2018-03-05,1.9590999999999998
2018-03-06,-2.6901
2018-03-07,-1.5796999999999999
2018-03-08,-2.0063
2018-03-09,-0.234
2018-03-12,0.8502
2018-03-13,-1.7442
2018-03-14,-0.6805
2018-03-15,-4.4981
