ticker,FBIP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-03,0.9709
2000-03-15,1.5577
2000-03-23,-0.2375
2000-04-19,-0.9524
2000-04-24,-0.2404
2000-04-25,1.2048
2000-05-01,0.0
2000-05-10,-0.2381
2000-05-11,-0.1193
2000-05-16,-1.3205
2000-06-05,5.0915
2000-06-07,-5.0691
2000-06-08,1.2136
2000-06-27,0.1155
2000-08-14,3.125
2000-08-24,0.0
2001-01-08,1.5934
2001-01-25,-0.232
2001-02-26,0.8372
2001-11-30,2.7365
2001-12-03,2.7273
2001-12-11,2.8761
2002-04-03,0.6624
2002-05-16,2.1645
2003-01-21,-1.0003
2003-01-29,13.0226
2003-02-21,-10.79
2003-03-03,5.2268
2003-03-10,-4.7619
2003-03-18,2.1999
2003-08-21,7.2706
2003-11-20,2.4231
2004-06-22,4.0219
2004-07-01,2.7475
2004-08-13,-2.2222
2004-08-30,13.6364
2004-11-12,-4.2774
2004-12-27,9.1934
2004-12-28,0.0
2004-12-30,-4.8387
2005-06-29,1.6885
2005-06-30,3.1193
2005-07-25,-1.5581
2005-08-08,-0.6623
2005-08-23,0.6667
2005-09-13,-1.3245
2005-09-14,1.7517
2005-09-21,0.0
2005-10-07,-0.6623
2005-10-11,0.0
2005-10-25,0.3333
2005-11-16,0.9967
2005-11-18,0.0
2005-11-29,0.6579
2005-12-01,0.817
2005-12-08,-0.8104
2005-12-12,0.9804
2005-12-14,-2.233
2005-12-20,1.3333
2006-01-13,0.0
2006-01-17,0.0
2006-01-18,-0.3289
2006-01-24,-0.33
2006-01-25,0.5629
2006-02-02,-0.5598
2006-03-01,0.3311
2006-03-13,-0.8251
2006-03-16,1.2768
2006-04-03,0.9901
2006-04-04,-0.9804
2006-04-06,0.0
2006-05-31,-0.33
2006-07-24,0.439
2006-08-02,0.3311
2006-08-03,0.33
2006-09-06,1.3158
2006-10-27,1.1485
2006-11-21,-0.3226
2006-12-04,0.9709
2006-12-14,-2.4485
2006-12-15,0.0
2006-12-18,1.9868000000000001
2007-01-30,3.8961
2007-03-08,-1.25
2007-04-03,-2.6965
2007-04-09,0.9804
2007-07-13,-1.7822
2007-07-16,-0.8278
2007-07-17,2.1703
2007-07-24,-0.3268
2007-09-11,0.3279
2007-09-18,-0.4861
2007-09-28,-0.33
2007-10-01,1.3245
2007-10-02,-1.3072
2007-10-03,1.3245
2007-11-06,0.0
2007-12-24,2.1148
2008-01-29,-1.9355
2008-02-04,-0.6579
2008-02-14,0.6623
