ticker,FTHY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,0.0
2020-06-29,0.9
2020-06-30,0.1982
2020-07-01,1.0386
2020-07-02,0.2937
2020-07-06,0.6345
2020-07-07,0.5335
2020-07-08,0.8201
2020-07-09,-1.1962
2020-07-10,-0.0484
2020-07-13,0.0969
2020-07-14,-0.1452
2020-07-15,2.5691
2020-07-16,0.2836
2020-07-17,-0.754
2020-07-20,-0.7123
2020-07-21,0.1913
2020-07-22,0.0955
2020-07-23,0.9304
2020-07-24,2.6218
2020-07-27,-5.1565
2020-07-28,-2.5728
2020-07-29,-0.0199
2020-07-30,-0.142
2020-07-31,1.3599999999999999
