ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-06,-66.6667
2004-05-24,200.0
2004-08-05,233.3333
2004-08-06,910.0
2004-08-12,0.0
2004-08-27,0.0
2004-08-31,0.0
2004-09-07,-49.505
2004-09-15,-41.1765
2004-09-27,0.0
2004-10-04,0.0
2004-10-06,0.0
2004-10-27,-16.6667
2004-11-11,0.0
2004-11-22,0.0
2004-12-15,0.0
2004-12-17,0.0
2004-12-28,0.0
2005-01-07,0.0
2005-01-12,-20.0
2005-01-14,150.0
2005-01-19,-60.0
2005-02-09,0.0
2005-02-10,0.0
2005-02-23,0.0
2005-02-25,5.0
2005-02-28,0.0
2005-03-01,42.8571
2005-03-02,0.0
2005-03-08,0.0
2005-03-10,16.6667
2005-03-18,0.0
2005-03-21,42.8571
2005-03-28,0.0
2005-04-13,-30.0
2005-05-20,0.0
2005-05-25,42.8571
2005-05-26,0.0
2005-05-31,50.0
2005-06-02,0.0
2005-06-13,0.0
2005-06-15,0.0
2005-06-16,-20.0
2005-06-27,-16.6667
2005-07-05,50.0
2005-07-07,0.0
2005-07-14,0.0
2005-07-15,-20.0
2005-07-27,41.6667
2005-07-29,0.0
2005-08-01,-11.7647
2005-08-05,13.3333
2005-08-08,58.8235
2005-08-09,0.0
2005-08-10,-22.2222
2005-08-18,0.0
2005-08-22,-4.7619
2005-08-26,5.0
2005-08-30,-23.8095
2005-09-02,26.25
2005-09-08,0.0
2005-09-20,33.6634
2005-09-21,0.0
2005-09-27,-18.5185
2005-09-28,13.6364
2005-10-05,-12.0
2005-10-06,-4.5455
2005-10-07,2.8571
2005-10-12,6.4815
2005-10-17,-6.087
2005-10-18,-6.4815
2005-10-20,-0.9901
2005-10-21,-40.0
2005-11-21,50.0
2005-11-22,0.0
2005-11-23,-12.2222
2005-11-25,-5.0633
2005-11-28,5.3333
2005-11-29,0.0
2005-11-30,-5.0633
2005-12-01,-1.3333
2005-12-02,11.8919
2005-12-06,2.657
2005-12-07,0.0
2005-12-08,11.7647
2005-12-09,15.7895
2005-12-12,4.5455
2005-12-13,0.0
2005-12-19,-11.3043
2005-12-21,12.7451
2005-12-27,-11.3043
2005-12-28,17.647100000000002
2005-12-29,25.0
2005-12-30,-6.6667
2006-01-03,3.5714
2006-01-05,-6.8966
2006-01-19,-7.4074
2006-01-23,-8.0
2006-01-24,-11.3043
2006-01-25,32.3529
2006-01-26,0.0
2006-01-27,0.0
2006-01-30,3.7037
2006-01-31,-7.1429
2006-02-02,0.0
