ticker,GRHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-08,-8.3333
2002-08-09,-18.1818
2002-08-12,-55.5556
2002-08-13,150.0
2002-08-14,-30.0
2002-08-15,14.2857
2002-08-16,0.0
2002-08-19,12.5
2002-08-21,-22.2222
2002-08-23,5.7143
2002-08-26,21.6216
2002-08-27,-44.4444
2002-08-28,60.0
2002-08-30,0.0
2002-09-05,-25.0
2002-09-10,0.0
2002-09-11,16.6667
2002-09-16,-32.8571
2002-10-02,27.6596
2002-10-08,0.0
2002-10-09,-33.3333
2002-10-10,25.0
2002-10-16,0.0
2002-10-22,-40.0
2002-10-25,66.6667
2002-10-29,-20.0
2002-10-30,0.0
2002-10-31,-50.0
2002-11-04,-90.0
2002-11-06,0.0
2002-11-18,2400.0
2002-11-22,-20.0
2002-11-26,0.0
2002-11-27,0.0
2002-12-04,0.0
2002-12-05,0.0
2002-12-06,-10.0
2002-12-12,38.8889
2002-12-13,40.0
2002-12-16,0.0
2002-12-17,-42.8571
2002-12-18,-10.0
2002-12-19,-72.2222
2002-12-23,200.0
2002-12-24,33.3333
2002-12-27,-25.0
2002-12-30,-66.6667
2002-12-31,200.0
2003-01-03,0.0
2003-01-06,0.0
2003-01-07,33.3333
2003-01-08,-25.0
2003-01-09,33.3333
2003-01-10,0.0
2003-01-13,-25.0
2003-01-14,33.3333
2003-01-21,0.0
2003-01-22,0.0
2003-01-28,-25.0
2003-01-31,33.3333
2003-02-04,0.0
2003-02-05,0.0
2003-02-06,10.0
2003-02-07,-9.0909
2003-02-11,0.0
2003-02-12,0.0
2003-02-13,5.0
2003-02-19,-42.8571
2003-02-24,75.0
2003-02-25,0.0
2003-03-07,-52.381
2003-03-12,50.0
2003-03-13,40.0
2003-03-14,0.0
2003-03-17,-52.381
2003-03-24,100.0
2003-03-27,-50.0
2003-04-03,0.0
2003-04-08,0.0
2003-04-11,80.0
2003-04-17,-44.4444
2003-04-21,0.0
2003-05-01,0.0
2003-05-05,0.0
2003-05-06,-70.0
2003-05-07,233.3333
2003-05-13,-10.0
2003-05-14,-66.6667
2003-05-19,233.3333
2003-05-20,0.0
2003-06-02,-80.0
2003-06-03,400.0
2003-06-04,0.0
2003-06-05,-10.0
2003-06-06,11.1111
2003-06-09,0.0
2003-06-10,50.0
2003-06-11,-33.3333
2003-06-16,-50.0
2003-07-01,100.0
2003-07-03,-90.0
2003-07-08,400.0
2003-07-17,60.0
2003-07-21,-37.5
2003-08-13,-80.0
2003-08-21,0.0
