ticker,GRRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-27,0.0
2007-06-28,14.2857
2007-06-29,1.5625
2007-07-02,-7.6923
2007-07-05,-6.6667
2007-07-06,0.0
2007-07-25,0.0
2007-07-31,28.5714
2007-08-01,-19.4444
2007-08-02,-13.7931
2007-08-03,16.0
2007-08-08,13.7931
2007-08-10,-24.2424
2007-08-15,16.0
2007-08-16,-10.3448
2007-08-23,0.0
2007-08-27,-3.8462
2007-08-29,0.0
2007-08-31,28.0
2007-09-10,-21.875
2007-09-13,0.0
2007-09-28,28.0
2007-10-10,-25.0
2007-10-15,-4.1667
2007-10-18,4.3478
2007-10-26,-4.1667
2007-10-31,30.4348
2007-11-13,-10.0
2007-11-15,3.7037
2007-11-20,-17.8571
2007-11-21,0.0
2007-11-23,0.0
2007-11-28,21.7391
2007-11-30,7.1429
2007-12-04,-3.3333
2007-12-06,-20.6897
2007-12-10,26.087
2007-12-11,-10.3448
2007-12-12,-3.8462
2007-12-13,-4.0
2007-12-17,0.0
2007-12-18,8.3333
2007-12-19,-11.5
2007-12-20,4.3025
2007-12-26,-4.1667
2007-12-27,0.0
2007-12-31,8.6957
2008-01-07,0.0
2008-01-09,2.0
2008-01-18,1.3725
2008-02-07,-24.564799999999998
2008-02-26,-28.2051
2008-02-27,21.4286
2008-02-28,-30.8824
2008-02-29,61.7021
2008-03-25,-36.8421
2008-03-27,8.3333
2008-03-28,0.0
2008-03-31,30.7692
2008-04-02,-23.5294
2008-05-12,-30.7692
2008-05-16,-22.2222
2008-06-02,-14.2857
2008-06-18,8.3333
2008-06-19,0.1538
2008-07-02,30.5684
2008-07-16,-5.8824
2008-08-18,-62.5
2008-08-20,-33.3333
2008-08-27,-50.0
2008-08-28,400.0
2008-08-29,40.0
2008-09-16,-85.7143
2008-09-18,0.0
2008-09-29,600.0
2008-10-06,-28.5714
2008-10-16,40.0
2008-11-06,-71.4286
2008-11-20,0.0
2008-11-24,0.0
2008-12-05,-50.0
2008-12-15,-90.0
2008-12-19,0.0
2008-12-23,160.0
2008-12-31,284.6154
2009-02-19,0.0
2009-02-24,-90.0
2009-02-27,0.0
2009-07-08,0.0
2009-08-03,-99.875
2009-09-23,7900.0
2009-11-02,-98.75
2009-11-19,7900.0
2009-12-21,-98.75
2010-01-04,0.0
2010-01-06,0.0
2010-01-28,0.0
2010-02-24,50.0
2010-03-18,433.3333
2010-10-27,-87.5
2010-11-04,0.0
2010-12-08,0.0
2011-11-22,700.0
2011-12-01,-87.5
2012-04-25,50.0
2012-05-21,2566.6667
2013-09-09,0.0
2013-09-11,100.0
2013-09-27,0.0
2013-10-07,0.0
2013-10-14,0.0
2013-11-06,100.0
2013-11-19,0.0
2014-01-23,5.0
2014-01-28,42.8571
2014-02-19,33.3333
2014-03-07,150.0
2014-08-04,-95.0
2014-12-31,900.0
2015-01-26,-99.75
2015-05-22,-26.4
2015-07-31,103.8043
2015-09-02,-33.3333
2016-03-24,0.0
2016-10-19,87900.0
2016-10-26,0.0
2016-10-31,-9.0909
2016-11-02,10.0
2017-06-09,-18.1818
