ticker,HABC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-13,1.9607999999999999
2000-01-20,-1.9231
2000-01-28,1.9607999999999999
2000-02-02,-7.6923
2000-02-04,3.6458
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-3.5176
2000-02-11,4.1667
2000-02-14,-7.0
2000-02-15,-1.0753
2000-02-22,4.3478
2000-02-23,-4.1667
2000-02-25,-6.5217
2000-02-29,2.3256
2000-03-01,-4.5682
2000-03-02,7.7844
2000-03-08,-5.0
2000-03-09,6.4327
2000-03-10,1.0989
2000-03-14,1.087
2000-03-15,-8.0645
2000-03-16,0.0
2000-03-21,0.0
2000-03-22,9.9415
2000-03-23,-7.4468
2000-03-24,0.0
2000-03-27,1.1494
2000-03-28,-10.7955
2000-03-29,4.4586
2000-04-05,0.0
2000-04-07,3.6585
2000-04-10,0.0
2000-04-13,-6.4706
2000-04-14,0.0
2000-04-17,6.9182
2000-04-18,-5.8824
2000-04-20,0.0
2000-04-24,0.0
2000-04-26,5.0
2000-04-28,-5.9524
2000-05-01,6.3291
2000-05-04,-7.1429
2000-05-12,6.4103
2000-05-17,-4.8193
2000-05-19,-1.2658
2000-05-22,0.0
2000-05-23,2.5641
2000-05-25,-2.5
2000-05-31,0.6192
2000-06-01,7.6923
2000-06-02,-7.1429
2000-06-08,0.0
2000-06-13,7.6923
2000-06-14,-7.1429
2000-06-15,2.5641
2000-06-19,-1.875
2000-06-21,4.4586
2000-06-22,-1.8293
2000-06-26,-1.8634
2000-06-27,0.0
2000-06-28,-1.2658
2000-06-29,1.2821
2000-06-30,3.7975
2000-07-03,-3.6585
2000-07-05,1.2658
2000-07-07,-2.5
2000-07-11,1.2821
2000-07-12,-0.6329
2000-07-13,1.9108
2000-07-14,-2.5
2000-07-17,6.4103
2000-07-18,1.2048
2000-07-20,-4.7619
2000-07-21,2.5
2000-07-25,-4.878
2000-07-27,6.4103
2000-07-31,-3.6145
2000-08-02,-2.5
2000-08-07,2.5641
2000-08-08,0.0
2000-08-09,-1.25
2000-08-11,3.7975
2000-08-14,-3.0488
2000-08-22,4.4025
2000-08-23,-4.8193
2000-08-25,1.2658
2000-08-28,-2.5
2000-08-30,0.6154
2000-09-01,0.0
2000-09-07,2.5641
2000-09-08,3.75
2000-09-12,0.0
2000-09-14,0.0
2000-09-15,-3.6145
2000-09-18,0.0
2000-09-20,2.5
2000-09-21,0.6098
2000-09-22,-2.4242
2000-09-26,1.8634
2000-09-27,-1.2195
2000-10-03,1.2346
