ticker,HHDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-25,-45.6522
2016-05-26,100.0
2016-05-27,-8.0
2016-06-01,-78.2609
2016-06-03,360.0
2016-06-14,-13.0435
2016-06-27,-65.0
2016-06-29,257.1429
2016-07-12,-12.0
2016-07-14,13.6364
2016-07-27,-80.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-25,500.0
2016-08-26,-33.3333
2016-08-30,-75.0
2016-08-31,200.0
2016-09-12,40.0
2016-09-13,-28.5714
2016-09-14,100.0
2016-09-22,-26.6667
2016-09-30,-4.5455
2016-10-05,4.7619
2016-10-11,0.0
2016-10-13,0.0
2016-11-02,0.0
2016-11-07,-4.5455
2016-11-29,-4.7619
2016-11-30,0.0
2017-04-07,7.5
2017-05-24,11.6279
2017-05-30,-22.9167
2017-06-01,-18.9189
2017-10-27,-93.3333
2017-11-03,0.0
2018-05-29,0.0
2019-03-26,0.0
2019-05-03,-90.0
2019-05-22,0.0
2019-07-12,0.0
2019-08-14,10900.0
2019-08-28,-99.0909
2019-09-05,15900.0
2019-11-04,-99.9375
