ticker,HONT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5625
2000-01-12,4.7619
2000-01-24,2.2727
2000-02-23,0.0
2000-03-13,-4.4444
2000-03-14,0.7752
2000-03-27,-3.8462
2000-05-12,4.0
2000-05-16,-3.0769
2000-05-18,3.1746
2000-05-23,-3.0769
2000-05-24,2.3810000000000002
2000-08-18,-0.7752
2000-08-25,4.6875
2000-11-16,3.7313
2000-11-20,0.0
2001-02-06,-3.5971
2001-02-08,3.7313
2001-02-09,0.0
2001-03-07,3.5971
2001-03-14,-0.6944
2001-03-30,0.0
2001-04-02,0.0
2001-04-09,0.6993
2001-05-15,-2.0833
2001-05-30,5.6738
2001-05-31,2.0134
2001-06-28,0.6579
2001-07-05,-1.9607999999999999
2001-07-11,-3.3333
2001-07-12,1.7241
2001-07-18,1.6949
2001-08-16,4.6667
2001-11-14,-5.7325
2001-11-28,2.7027
2001-12-03,4.9342
2001-12-05,-4.7022
2001-12-06,4.9342
2001-12-21,-5.3292
2002-02-05,0.6623
2002-02-08,0.6579
2002-02-11,2.6144
2002-02-12,5.0955
2002-02-14,0.0
2002-02-15,0.0
2002-02-27,0.0
2002-03-01,-3.0303
2002-03-04,2.1875
2002-04-03,1.5291000000000001
2002-04-05,-3.012
2002-04-11,1.8634
2002-04-12,1.8293
2002-06-13,-2.9939999999999998
2002-06-24,2.4691
2002-07-01,0.0
2002-07-02,4.8193
2002-07-17,-5.977
2002-07-19,1.467
2002-07-25,-1.506
2002-07-26,3.9755000000000003
2002-08-20,2.3529
2002-09-26,0.0
2002-09-27,0.0
2003-01-27,1.7241
2003-02-27,1.1299
2003-03-03,-0.5587
2003-03-04,0.0
2003-05-27,3.3708
2003-06-18,0.5435
2003-07-14,5.4054
2003-07-18,5.1282
2003-08-19,0.0
2003-11-26,7.3171
2003-12-01,4.5455
2004-07-13,17.9039
2004-07-14,1.8519
2004-08-12,0.1821
2004-08-16,5.0909
2004-08-18,0.346
2004-11-01,5.9212
2004-11-15,14.7541
2004-11-26,7.1429
2004-12-15,-9.3333
2004-12-16,7.9412
2004-12-17,0.0
2005-01-31,-3.1246
2005-02-02,4.2254
2005-02-03,-4.0541
2005-02-04,0.0
2005-02-07,-2.5352
2005-02-09,-6.0694
2005-02-10,-7.6923
2005-02-14,4.1667
2005-02-15,4.0
2005-03-04,-4.6154
2005-03-07,4.8387
2005-03-08,0.0
2005-03-17,-3.0769
2005-03-18,3.1746
2005-03-21,0.0
2005-04-12,10.7692
