ticker,INN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-09,-0.6154
2011-02-10,1.6512
2011-02-11,-0.5076
2011-02-14,0.3061
2011-02-15,-0.3052
2011-02-16,-0.2041
2011-02-17,-0.818
2011-02-18,-0.3093
2011-02-22,-0.5171
2011-02-23,-0.6237
2011-02-24,0.2092
2011-02-25,2.2965
2011-02-28,-0.5102
2011-03-01,1.0256
2011-03-02,0.0
2011-03-03,-0.5076
2011-03-04,0.7143
2011-03-07,-0.1013
2011-03-08,0.4057
2011-03-09,0.0
2011-03-10,-1.8182
2011-03-11,0.5144
2011-03-14,-0.4094
2011-03-15,0.925
2011-03-16,0.3055
2011-03-17,0.1015
2011-03-18,0.0
2011-03-21,1.0142
2011-03-22,1.2048
2011-03-23,-0.9921
2011-03-24,-0.3006
2011-03-25,0.402
2011-03-28,-1.2012
2011-03-29,-0.1013
2011-03-30,0.1014
2011-03-31,0.7092
2011-04-01,0.6036
2011-04-04,0.1
2011-04-05,0.8991
2011-04-06,2.9703
2011-04-07,-0.3846
2011-04-08,-0.3861
2011-04-11,-0.969
2011-04-12,0.2935
2011-04-13,-2.5366
2011-04-14,2.4024
2011-04-15,0.6843
2011-04-18,-0.2913
2011-04-19,-0.1947
2011-04-20,-0.1951
2011-04-21,0.1955
2011-04-25,1.2683
2011-04-26,2.3121
2011-04-27,0.0
2011-04-28,3.0132
2011-04-29,3.5648999999999997
2011-05-02,-1.1474
2011-05-03,-1.7856999999999998
2011-05-04,0.0909
2011-05-05,0.0
2011-05-06,1.8165
2011-05-09,-2.6762
2011-05-10,2.7498
2011-05-11,-0.8363
2011-05-12,1.9891999999999999
2011-05-13,-5.5851
2011-05-16,-0.8451
2011-05-17,0.4735
2011-05-18,3.393
2011-05-19,0.5469
2011-05-20,-0.272
2011-05-23,-1.7273
2011-05-24,0.555
2011-05-25,1.2879
2011-05-26,2.9064
2011-05-27,-0.0883
2011-05-31,-0.53
2011-06-01,-3.5524
2011-06-02,0.3683
2011-06-03,-2.0183
2011-06-06,-0.6554
2011-06-07,0.6598
2011-06-08,2.9962999999999997
2011-06-09,0.8182
2011-06-10,-1.5329000000000002
2011-06-13,2.6557
2011-06-14,1.3381
2011-06-15,-1.2324
2011-06-16,-0.8913
2011-06-17,1.6187
2011-06-20,-0.885
2011-06-21,-0.7143
2011-06-22,0.5396
2011-06-23,-1.3417
2011-06-24,2.4479
2011-06-27,-2.2124
2011-06-28,1.1764999999999999
2011-06-29,3.0411
