ticker,INTEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-18,6.9444
2013-04-19,5.1948
2013-04-22,-0.9383
2013-04-23,2.6919
2013-04-24,-1.165
2013-04-25,1.7682
2013-04-26,-1.3514
2013-04-29,-1.272
2013-04-30,-0.1487
2013-05-01,-0.7444
2013-05-02,1.0
2013-05-03,-2.2277
2013-05-06,-0.3038
2013-05-07,1.6252
2013-05-08,-2.3487999999999998
2013-05-09,-0.2559
2013-05-10,6.0031
2013-05-13,5.7115
2013-05-14,6.6392
2013-05-15,0.8587
2013-05-16,-0.1277
2013-05-17,-1.7903
2013-05-20,0.9983
2013-05-21,4.942
2013-05-22,1.7199
2013-05-23,-1.7713
2013-05-24,0.041
2013-05-28,-0.9013
2013-05-29,0.3307
2013-05-30,1.1949
2013-05-31,-0.7736
2013-06-03,-4.5958
2013-06-04,-2.7096999999999998
2013-06-05,1.3705
2013-06-06,1.7881
2013-06-07,-1.5853000000000002
2013-06-10,-2.7427
2013-06-11,-1.7905
2013-06-12,-4.2844
2013-06-13,0.0
2013-06-14,0.1429
2013-06-17,-0.0476
2013-06-18,0.1903
2013-06-19,0.095
2013-06-20,-2.3719
2013-06-21,-1.3605
2013-06-24,0.2956
2013-06-25,0.1965
2013-06-26,-0.2941
2013-06-27,-1.6223999999999998
2013-06-28,-0.05
2013-07-01,-0.75
2013-07-02,1.3098
2013-07-03,0.2486
2013-07-05,3.373
2013-07-08,0.2879
2013-07-09,3.8278
2013-07-10,-0.0461
2013-07-11,-0.3688
2013-07-12,0.7867
2013-07-15,-1.5611000000000002
2013-07-16,-1.2593
2013-07-17,1.4643
2013-07-18,1.7225000000000001
2013-07-19,4.0275
2013-07-22,-0.7039
2013-07-23,-1.7723
2013-07-24,-0.9021
2013-07-25,-3.0496
2013-07-26,1.784
2013-07-29,-1.3838
2013-07-30,0.9822
2013-07-31,-0.6948
2013-08-01,4.944
2013-08-02,7.0667
2013-08-05,0.7472
2013-08-06,-3.2963
2013-08-07,1.6617
2013-08-08,-0.3353
2013-08-09,1.3035999999999999
2013-08-12,1.702
2013-08-13,0.6531
2013-08-14,-2.0276
2013-08-15,-1.8626
2013-08-16,-0.9279
2013-08-19,-3.4483
2013-08-20,5.291
2013-08-21,1.7588
2013-08-22,-1.5226
2013-08-23,-1.6298
2013-08-26,0.7222
2013-08-27,-1.8136
2013-08-28,-1.3746
2013-08-29,-1.4373
2013-08-30,0.8838
2013-09-03,1.5769
2013-09-04,-0.7762
