ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-27,7.8125
2017-01-30,-1.4493
2017-01-31,-2.4706
2017-02-01,3.076
2017-02-02,-0.1755
2017-02-03,-0.0586
2017-02-06,1.4663
2017-02-07,1.6185
2017-02-08,7.3948
2017-02-09,3.7076000000000002
2017-02-10,5.8733
2017-02-13,5.1616
2017-02-14,1.8349
2017-02-15,-5.0
2017-02-16,-6.7805
2017-02-17,1.2208
2017-02-21,2.6131
2017-02-22,-1.2732999999999999
2017-02-23,-0.5456
2017-02-24,-1.0474
2017-02-27,3.7298
2017-02-28,-1.5549
2017-03-01,4.8865
2017-03-02,5.7882
2017-03-03,5.1601
2017-03-06,7.6988
2017-03-07,-2.2388
2017-03-08,-6.7497
2017-03-09,-2.8436
2017-03-10,-1.1973
2017-03-13,-1.7953000000000001
2017-03-14,-3.0165
2017-03-15,2.9218
2017-03-16,3.5256
2017-03-17,-3.1402
2017-03-20,2.4201
2017-03-21,2.3629
2017-03-22,-0.1307
2017-03-23,5.495
2017-03-24,5.7462
2017-03-27,-2.3064999999999998
2017-03-28,0.04
2017-03-29,-6.2
2017-03-30,-3.1983
2017-03-31,-3.1278
2017-04-03,5.7299
2017-04-04,-2.8387000000000002
2017-04-05,-2.8331
2017-04-06,-0.9112
2017-04-07,3.4023
2017-04-10,0.667
2017-04-11,-2.8269
2017-04-12,1.5455
2017-04-13,-3.6258
2017-04-17,3.4835
2017-04-18,5.1167
2017-04-19,4.1418
2017-04-20,1.845
2017-04-21,-2.7375
2017-04-24,1.9868000000000001
2017-04-25,1.0146
2017-04-26,0.3616
2017-04-27,7.526
2017-04-28,5.4356
2017-05-01,0.4944
2017-05-02,-1.5812
2017-05-03,-2.7847
2017-05-04,-2.3503
2017-05-05,-8.0105
2017-05-08,0.6541
2017-05-09,-1.8277999999999999
2017-05-10,0.7447
2017-05-11,0.7392
2017-05-12,3.7504999999999997
2017-05-15,-2.0825
2017-05-16,2.2873
2017-05-17,-6.5516
2017-05-18,-1.8472
2017-05-19,-6.3302
2017-05-22,0.3196
2017-05-23,0.2731
2017-05-24,2.9505
2017-05-25,-0.0441
2017-05-26,-6.6167
2017-05-30,2.7397
2017-05-31,-6.8966
2017-06-01,-1.4321
2017-06-02,0.0501
2017-06-05,-4.4066
2017-06-06,-5.0288
2017-06-07,-6.9498
2017-06-08,3.4381
2017-06-09,-2.1203
2017-06-12,-5.9133
2017-06-13,1.0579
2017-06-14,0.0616
2017-06-15,-0.3077
