ticker,KBLMU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-02,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.016
2017-06-09,0.084
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,-0.0999
2017-06-15,0.1
2017-06-16,0.0
2017-06-19,0.3996
2017-06-20,-0.398
2017-06-21,0.0
2017-06-22,0.0999
2017-06-23,0.1996
2017-06-26,0.1992
2017-06-27,1.3917
2017-06-28,0.4902
2017-06-29,-0.1951
2017-06-30,-0.2884
2017-07-03,-0.397
2017-07-05,0.0984
2017-07-07,-0.6883
2017-07-10,0.6931
2017-07-11,-0.001
2017-07-12,0.3943
2017-07-13,-0.2938
2017-07-14,0.1965
2017-07-17,0.098
2017-07-18,0.2938
2017-07-20,0.0977
2017-07-26,0.2927
2017-07-27,-0.0973
2017-07-28,-0.779
2017-07-31,-0.4907
2017-08-01,0.5917
2017-08-02,-0.0078
2017-08-03,-0.6785
2017-08-04,-0.0494
2017-08-07,0.1402
2017-08-08,0.0917
2017-08-09,0.6937
2017-08-10,-1.1635
2017-08-11,0.297
2017-08-14,0.3791
2017-08-16,-0.181
2017-08-23,0.2857
2017-08-24,-0.0884
2017-08-28,0.0983
2017-08-29,-0.5894
2017-08-31,0.3953
2017-09-07,0.1969
2017-09-08,0.1965
2017-09-11,-0.3049
2017-09-12,-0.0875
2017-09-15,-0.2953
2017-09-18,0.1974
2017-09-19,0.0335
2017-09-20,-0.068
2017-09-21,0.0345
2017-09-22,-0.197
2017-09-25,-0.2962
2017-09-26,0.495
2017-09-27,-0.001
2017-09-28,0.001
2017-09-29,0.4926
2017-10-02,-0.3922
2017-10-04,0.0
2017-10-05,0.0984
2017-10-12,-0.1967
2017-10-13,0.197
2017-10-16,0.0
2017-10-18,-0.0983
2017-10-19,-0.0984
2017-10-20,0.0
2017-10-23,0.0
2017-10-24,0.3941
2017-10-25,0.2944
2017-10-26,-0.1957
2017-10-30,-0.098
2017-10-31,-0.1963
2017-11-02,-0.1967
2017-11-06,-0.197
2017-11-08,-0.1974
2017-11-09,0.1978
2017-11-13,1.0859
2017-11-15,-0.7813
2017-11-16,0.2953
2017-11-17,0.2944
2017-11-20,-0.3914
2017-11-21,-0.6876
2017-11-22,1.2859
2017-11-24,0.0
2017-11-27,0.0977
2017-11-28,-0.6907
2017-11-29,-0.2869
2017-11-30,0.197
2017-12-01,0.0983
2017-12-04,0.5894
2017-12-05,0.0
2017-12-06,-0.1953
2017-12-07,-0.1957
2017-12-08,0.4902
2017-12-11,0.0
2017-12-12,-0.3902
2017-12-21,-0.4897
2017-12-28,0.0
2018-01-04,0.1969
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.4597
2018-01-11,0.7148
2018-01-12,-0.1932
2018-01-16,0.4864
2018-01-17,0.0
2018-01-18,-0.2904
2018-01-19,-0.2913
2018-01-22,-0.2921
2018-01-23,-0.0977
2018-01-24,0.1955
2018-01-26,0.0976
2018-01-29,0.5848
2018-01-30,0.1938
2018-01-31,0.0967
2018-02-01,-0.1932
2018-02-05,-0.001
2018-02-06,-0.0958
2018-02-07,-0.1938
2018-02-09,0.2913
2018-02-12,-0.2904
2018-02-13,0.2913
2018-02-14,0.0
2018-02-15,-0.1936
2018-02-23,-0.096
2018-02-26,0.7757
2018-02-27,-0.289
2018-02-28,-0.1932
2018-03-01,0.2904
2018-03-02,-0.1931
2018-03-05,0.0967
2018-03-06,-0.001
2018-03-07,-0.0957
2018-03-08,0.0
2018-03-09,0.0967
2018-03-12,0.1932
2018-03-13,0.0
2018-03-14,-0.2893
2018-03-19,0.7737
2018-03-27,-0.3839
2018-03-28,0.1927
2018-04-02,0.1923
2018-04-04,-0.096
2018-04-06,0.3833
2018-04-12,-0.0947
2018-04-19,0.1916
2018-04-24,0.0
2018-04-25,-0.1922
2018-04-30,0.5757
2018-05-07,-0.381
2018-05-14,0.3824
2018-05-22,-0.4762
2018-05-31,1.4354
2018-06-07,-0.4717
2018-06-13,-0.9479
2018-07-26,1.9139
2018-07-27,0.939
2018-08-08,-1.3953
2018-08-09,-0.4717
2018-08-14,-0.2844
2018-08-20,-0.1901
2018-09-20,9.5238
2018-09-24,-6.8496
2018-10-24,-1.4217
2019-02-12,-0.5682
2019-02-26,0.0952
2019-02-27,0.0
2019-04-03,2.0932
2019-04-09,2.0503
2019-05-15,0.0
2019-05-31,-4.0183
2019-06-05,0.8563
2019-07-26,3.6151
2019-10-28,-2.2025
2019-12-11,-0.0121
2019-12-16,-1.7691
2020-01-24,0.1896
2020-03-24,5.9603
2020-04-23,-4.5982
2020-05-07,-0.7955
2020-06-17,8.4906
2020-06-18,0.0
2020-06-23,0.8696
2020-06-30,5.1724
