ticker,KCLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.7407
2000-01-04,-1.4706000000000001
2000-01-05,1.4925
2000-01-06,-2.9412000000000003
2000-01-07,2.6515
2000-01-10,-2.214
2000-01-11,-3.3962
2000-01-12,-2.3438
2000-01-13,-3.2
2000-01-14,-2.4793
2000-01-18,5.0847
2000-01-19,8.871
2000-01-20,-5.9259
2000-01-21,-5.5118
2000-01-24,5.8333
2000-01-25,-5.5118
2000-01-26,2.5
2000-01-27,1.2195
2000-01-28,2.8112
2000-01-31,4.6875
2000-02-01,1.4925
2000-02-02,-2.9412000000000003
2000-02-03,1.5152
2000-02-04,2.2556
2000-02-07,3.6765
2000-02-08,-3.1915
2000-02-09,-1.0989
2000-02-10,0.0
2000-02-11,0.3704
2000-02-14,-0.369
2000-02-15,-0.7407
2000-02-16,7.0896
2000-02-17,-4.3554
2000-02-18,-1.4572
2000-02-22,-1.4787
2000-02-23,-3.1895
2000-02-24,-3.1008
2000-02-25,0.05
2000-02-28,-1.2494
2000-02-29,3.6437
2000-03-01,3.125
2000-03-02,-2.6515
2000-03-03,-2.1401
2000-03-06,-7.7535
2000-03-07,-0.8621
2000-03-08,-4.5652
2000-03-09,-5.2392
2000-03-10,-2.8846
2000-03-13,-2.9703
2000-03-14,-7.9082
2000-03-15,-2.4931
2000-03-16,19.3182
2000-03-17,-4.7619
2000-03-20,1.0
2000-03-21,12.8713
2000-03-22,-0.6579
2000-03-23,2.4283
2000-03-24,-6.0345
2000-03-27,6.422
2000-03-28,0.8621
2000-03-29,-5.1282
2000-03-30,0.4505
2000-03-31,-13.4529
2000-04-03,2.0725
2000-04-04,3.0457
2000-04-05,-6.6502
2000-04-06,5.5409
2000-04-07,-1.75
2000-04-10,9.9237
2000-04-11,-0.463
2000-04-12,-1.3953
2000-04-13,0.0
2000-04-14,-4.0094
2000-04-17,21.8673
2000-04-18,-7.6613
2000-04-19,-6.9869
2000-04-20,1.4085
2000-04-24,1.3889
2000-04-25,-5.0228
2000-04-26,2.8846
2000-04-27,-3.271
2000-04-28,4.8309
2000-05-01,-2.765
2000-05-02,0.1185
2000-05-03,-0.9467
2000-05-04,2.7479
2000-05-05,-2.3474
2000-05-08,0.4808
2000-05-09,-3.3493
2000-05-10,-0.495
2000-05-11,2.4876
2000-05-12,0.0
2000-05-15,-2.9126
2000-05-16,-2.0
2000-05-17,1.0204
2000-05-18,3.0303
2000-05-19,1.9607999999999999
2000-05-22,-0.9615
2000-05-23,0.9709
