ticker,LOAK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-01,0.1036
2020-06-02,0.0
2020-06-03,-0.3106
2020-06-04,1.1423
2020-06-05,0.1027
2020-06-08,-0.3333
2020-06-09,0.0257
2020-06-10,-0.3086
2020-06-11,0.0
2020-06-12,-0.6192
2020-06-15,0.2077
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.3109
2020-06-22,0.1033
2020-06-23,0.6192
2020-06-24,0.5128
2020-06-25,0.0
2020-06-26,0.102
2020-06-29,-0.4077
2020-06-30,0.3071
2020-07-01,-0.5102
2020-07-02,0.7179
2020-07-06,-0.5092
2020-07-07,0.7165
2020-07-09,0.0
2020-07-10,-0.2033
2020-07-13,1.1202
2020-07-14,-0.5539
2020-07-15,0.8608
2020-07-16,0.4016
2020-07-17,1.2
2020-07-20,-0.4941
2020-07-21,0.0993
2020-07-22,-0.1984
2020-07-23,-0.5964
2020-07-24,-0.4
2020-07-27,2.6205
2020-07-28,-2.0683
2020-07-29,0.2038
2020-07-30,0.0
2020-07-31,-0.2991
