ticker,NCRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-02-12,48.1481
2002-02-15,-30.0
2002-02-22,42.8571
2002-02-26,0.0
2002-02-27,-37.5
2002-03-04,0.0
2002-03-05,60.0
2002-03-07,20.0
2002-03-08,77.0833
2002-03-12,-11.7647
2002-03-13,34.6667
2002-03-19,-25.7426
2002-03-20,34.6667
2002-03-22,-49.505
2002-03-28,37.2549
2002-04-08,-21.4286
2002-04-11,18.1818
2002-04-16,0.0
2002-04-18,-38.4615
2002-04-22,62.5
2002-04-26,0.0
2002-05-03,0.0
2002-05-30,-46.1538
2002-05-31,85.7143
2002-06-10,-43.0769
2002-06-11,75.6757
2002-06-13,-43.0769
2002-06-14,75.6757
2002-06-18,-46.1538
2002-07-01,0.0
2002-07-08,14.2857
2002-07-10,-12.5
2002-07-11,14.2857
2002-07-16,0.0
2002-07-18,0.0
2002-07-24,-17.5
2002-08-08,-24.2424
2002-08-09,20.0
2002-08-12,0.0
2002-08-16,16.6667
2002-08-19,0.0
2002-08-20,42.8571
2002-08-21,0.0
2002-08-27,-10.0
2002-08-28,-55.5556
2002-08-30,75.0
2002-09-04,-42.8571
2002-09-05,-25.0
2002-09-06,33.3333
2002-09-10,0.0
2002-09-12,0.0
2002-09-17,50.0
2002-09-23,-33.3333
2002-09-24,0.0
2002-09-26,0.0
2002-10-01,0.0
2002-10-08,-25.0
2002-10-09,0.0
2002-10-11,-20.0
2002-10-17,41.6667
2002-10-18,17.647100000000002
2002-10-21,25.0
2002-10-22,0.0
2002-10-23,-12.0
2002-10-25,0.0
2002-10-31,0.0
2002-11-06,-54.5455
2002-11-07,170.0
2002-11-08,0.0
2002-11-11,0.0
2002-11-12,0.0
2002-11-13,0.0
2002-11-14,0.0
2002-11-15,0.0
2002-11-21,0.0
2002-11-26,0.0
2002-12-02,0.0
2002-12-11,-48.1481
2002-12-13,92.8571
2003-01-06,-11.1111
2003-01-08,0.0
2003-01-14,4.1667
2003-01-28,-20.0
2003-01-30,0.0
2003-01-31,0.0
2003-02-25,-20.0
2003-03-03,0.0
2003-03-04,68.75
2003-03-05,29.6296
2003-03-11,-5.7143
2003-03-12,0.0
2003-03-13,6.0606
2003-03-21,0.0
2003-03-25,-14.2857
2003-04-07,0.0
2003-04-14,0.0
2003-04-21,0.0
2003-05-06,-16.6667
2003-05-07,24.0
2003-05-08,0.0
2003-05-12,0.0
2003-05-15,0.0
2003-05-19,0.0
2003-05-27,-45.1613
2003-05-28,200.0
