ticker,NSPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-15,-4.3062000000000005
2011-04-18,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,-2.5
2011-04-29,-10.2564
2011-05-03,14.2857
2011-05-04,-12.5
2011-05-05,0.0
2011-05-06,20.0
2011-05-09,5.2381
2011-05-10,-1.3575
2011-05-11,7.3394
2011-05-12,2.1368
2011-05-13,-1.6736
2011-05-16,3.8298
2011-05-17,3.6885
2011-05-18,10.2767
2011-05-19,-5.0179
2011-05-20,3.7736
2011-05-23,0.0
2011-05-24,-1.8182
2011-05-25,1.8519
2011-05-26,-0.7273
2011-05-27,2.1978
2011-05-31,1.7921
2011-06-01,-3.169
2011-06-02,0.0
2011-06-03,-1.8182
2011-06-06,-3.7037
2011-06-07,3.8462
2011-06-08,1.8519
2011-06-09,0.0
2011-06-10,-3.6364
2011-06-13,-0.7547
2011-06-14,1.9011
2011-06-16,0.7463
2011-06-17,0.0
2011-06-20,-3.7037
2011-06-21,0.0
2011-06-22,3.4615
2011-06-23,1.487
2011-06-24,-8.7912
2011-06-27,2.008
2011-06-28,-1.5748
2011-06-29,-0.4
2011-07-05,0.4016
2011-07-06,4.0
2011-07-11,-3.8462
2011-07-12,3.6
2011-07-13,-0.7722
2011-07-14,-4.2802
2011-07-15,-2.8455
2011-07-18,-5.8577
2011-07-19,0.0
2011-07-20,4.4444
2011-07-21,0.0
2011-07-22,4.2553
2011-07-25,-7.3469
2011-07-26,0.0
2011-07-27,5.7269
2011-07-29,-4.1667
2011-08-01,-6.5217
2011-08-02,9.3023
2011-08-03,2.1277
2011-08-04,0.0
2011-08-05,-12.5
2011-08-08,-7.1429
2011-08-09,7.6923
2011-08-10,0.0
2011-08-11,-4.7619
2011-08-16,0.0
2011-08-18,-5.5
2011-08-19,0.0
2011-08-22,5.8201
2011-08-24,0.0
2011-08-25,-1.5
2011-08-26,-3.5533
2011-08-30,3.6842
2011-08-31,-2.0305
2011-09-01,3.6269
2011-09-02,0.0
2011-09-06,-5.0
2011-09-07,5.2632
2011-09-08,2.5
2011-09-09,-2.439
2011-09-12,-1.0
2011-09-13,-1.0101
2011-09-14,2.0408
2011-09-15,12.5
2011-09-16,-2.2222
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,-9.0909
2011-09-23,10.0
2011-09-26,-3.6364
2011-09-27,-5.6604
2011-09-28,15.0
2011-09-29,0.0
