ticker,NVFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-15,1900.0
2011-09-16,16.6667
2011-09-19,7.1429
2011-09-20,0.0
2011-09-21,6.6667
2011-09-22,6.25
2011-09-23,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-10,1.1764999999999999
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,-2.3256
2011-10-14,2.3810000000000002
2011-10-17,4.6512
2011-10-18,2.2222
2011-10-19,204.3478
2011-10-21,-65.7143
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,-2.0833
2011-10-28,0.0
2011-10-31,-4.2553
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-14,2.0
2011-11-15,0.0
2011-11-16,-1.9607999999999999
2011-11-18,2.0
2011-11-25,-8.4967
2011-11-28,-10.7143
2011-11-29,6.6667
2011-11-30,5.0
2011-12-01,6.9048
2011-12-02,-0.8909
2011-12-05,-1.1236
2011-12-06,0.0
2011-12-07,1.1364
2011-12-08,0.0
2011-12-09,0.0
2011-12-14,0.0
2011-12-15,-1.1236
2011-12-16,0.0
2011-12-22,2.0455
2011-12-23,0.0
2011-12-28,0.0
2011-12-29,-2.0045
2011-12-30,-3.4091
2012-01-06,-1.1764999999999999
2012-01-09,-4.7619
2012-01-10,6.25
2012-01-11,-3.5294
2012-01-19,-2.439
2012-01-23,0.0
2012-01-24,-5.0
2012-01-25,1.3158
2012-01-26,-2.5974
2012-01-27,-4.0
2012-01-30,2.7778
2012-02-06,-4.0541
2012-02-07,2.8169
2012-02-08,-4.1096
2012-02-10,0.0
2012-02-13,-0.2857
2012-02-16,-11.1748
2012-02-17,11.2903
2012-02-22,-4.3478
2012-02-23,-1.5152
2012-02-24,-1.5385
2012-03-01,0.0
2012-03-02,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-12,0.0
2012-03-15,-6.25
2012-03-16,-21.6667
2012-03-19,0.0
2012-03-21,-14.8936
2012-03-22,-5.0
2012-03-23,5.2632
2012-03-26,-5.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,-15.7895
2012-04-02,25.0
2012-04-03,-1.5
