ticker,NXFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-23,-49.5
2008-09-24,98.0198
2008-09-30,25.0
2008-10-03,-20.0
2008-10-14,50.0
2009-02-26,-83.0
2009-04-14,292.1569
2009-04-17,12.5
2009-04-20,4.4444
2009-04-21,6.383
2009-04-22,2.0
2009-04-24,1.9607999999999999
2009-04-27,1.7308
2009-04-28,0.9452
2009-04-29,0.7491
2009-05-01,0.0
2009-05-04,-1.8587
2009-05-08,2.2727
2009-05-14,0.0
2009-05-18,1.8519
2009-05-20,0.0
2009-05-21,1.8182
2009-05-22,-3.5714
2009-05-26,3.7037
2009-05-29,1.7856999999999998
2009-06-01,1.7544
2009-06-02,1.7241
2009-06-03,1.6949
2009-06-04,0.0
2009-06-05,1.6667
2009-06-08,0.0
2009-06-09,0.0
2009-06-10,1.6393
2009-06-11,0.0
2009-06-12,0.6452
2009-06-15,0.9615
2009-06-17,1.2698
2009-06-18,0.3135
2009-06-19,0.0
2009-06-24,0.0
2009-06-29,1.5625
2009-06-30,0.0
2009-07-10,0.0
2009-07-14,0.0
2009-07-17,0.0
2009-07-30,-0.6154
2009-08-03,-2.4768
2009-08-04,3.1746
2009-08-19,-4.6154
2009-08-27,0.0
2009-08-28,4.8387
2009-09-01,-4.6154
2009-09-02,-4.8387
2009-09-03,3.3898
2009-09-04,6.5574
2009-09-10,-7.3846
2009-09-11,11.2957
2009-09-29,-5.9701
2009-10-05,0.0
2009-10-19,-4.7619
2009-10-20,-3.3333
2009-10-28,-1.7241
2009-11-05,0.0
2009-11-06,0.0
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.0
2009-11-13,5.2632
2009-12-23,1.6667
2010-02-01,-3.2787
2010-02-02,-6.7797
2010-02-03,7.2727
2010-02-10,-1.0169
2010-02-11,2.7397
2010-02-23,0.0
2010-02-26,0.0
2010-03-05,0.0
2010-03-09,0.0
2010-03-10,1.0
2010-03-11,0.6601
2010-03-12,1.6393
2010-03-15,1.6129
2010-03-17,0.0
2010-03-18,0.0
2010-04-08,0.6349
2010-04-15,0.9464
2010-05-12,0.0
2010-06-08,-37.1875
2010-06-09,59.204
2010-06-10,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-24,0.0
2010-07-09,-3.125
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-23,4.8387
2010-07-28,-4.6154
2010-07-30,4.8387
2010-09-10,0.0
2010-09-14,0.0
2010-09-20,0.0
2010-09-22,0.0
