ticker,OPTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-16,0.0
2006-05-31,66.6667
2006-10-24,40.0
2006-12-05,78.5714
2006-12-11,0.0
2007-02-09,-40.0
2009-11-19,100.0
2009-12-10,0.0
2009-12-15,20.0
2010-01-11,-66.6667
2010-01-12,25.0
2010-01-13,0.0
2010-01-14,4.0
2010-01-15,-18.0288
2010-01-19,59.5308
2010-01-20,-8.8235
2010-01-21,-12.9032
2010-01-22,-22.2222
2010-01-25,4.7619
2010-01-26,15.9091
2010-01-27,5.8824
2010-01-28,25.9259
2010-01-29,-14.7059
2010-02-01,6.8966
2010-02-02,-3.2258
2010-02-03,-7.0833
2010-02-04,-22.87
2010-02-05,-11.6279
2010-02-08,-5.2632
2010-02-09,-17.7083
2010-02-10,-10.1266
2010-02-11,16.4319
2010-02-12,-3.2258
2010-02-16,0.0
2010-02-17,-6.6667
2010-02-18,-14.2857
2010-02-19,-8.3333
2010-02-22,-24.4318
2010-02-23,24.812
2010-02-24,-3.6145
2010-02-25,-16.875
2010-02-26,20.3008
2010-03-01,3.125
2010-03-02,-3.0303
2010-03-03,-5.0
2010-03-04,-5.2632
2010-03-05,11.1111
2010-03-08,-10.0
2010-03-09,0.0
2010-03-10,-11.1111
2010-03-11,12.5
2010-03-12,-5.5556
2010-03-15,-5.8824
2010-03-16,-12.5
2010-03-17,14.2857
2010-03-18,50.0
2010-03-19,-20.8333
2010-03-22,-21.0526
2010-03-23,13.3333
2010-03-24,15.4412
2010-03-25,-18.4713
2010-03-26,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,-6.25
2010-04-01,5.0
2010-04-05,-0.7937
2010-04-06,-8.8
2010-04-07,9.6491
2010-04-08,-10.4
2010-04-09,-7.1429
2010-04-12,0.0
2010-04-13,-23.0769
2010-04-14,0.0
2010-04-15,20.0
2010-04-16,16.6667
2010-04-19,0.0
2010-04-20,0.0
2010-04-21,-7.1429
2010-04-22,-7.6923
2010-04-26,-8.3333
2010-04-27,-9.0909
2010-04-28,20.0
2010-04-29,-3.125
2010-05-03,0.0
2010-05-04,-2.1505
2010-05-05,-12.0879
2010-05-06,0.0
2010-05-07,0.0
2010-05-10,0.0
2010-05-12,-20.0
2010-05-13,12.5
2010-05-14,-11.1111
2010-05-17,0.0
2010-05-20,-25.0
2010-05-21,39.5833
2010-05-25,0.0
2010-05-28,-4.4776
2010-06-03,-25.0
2010-06-04,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,16.6667
