ticker,POAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-12,20.0
2010-04-13,11.1111
2010-04-14,175.0
2010-04-15,18.1818
2010-04-16,-1.5385
2010-04-19,4.6875
2010-04-20,-22.3881
2010-04-21,5.7692
2010-04-22,-36.3636
2010-04-23,7.1429
2010-04-28,6.6667
2010-04-29,0.0
2010-04-30,-15.0
2010-05-03,2.9412000000000003
2010-05-05,-8.5714
2010-05-06,-6.25
2010-05-12,33.3333
2010-05-13,-30.0
2010-05-14,-10.7143
2010-05-17,0.4
2010-05-18,-12.3506
2010-05-20,0.0
2010-05-21,0.0
2010-05-24,0.0
2010-05-25,-9.0909
2010-05-26,25.0
2010-05-27,-12.0
2010-05-28,0.0
2010-06-02,0.0
2010-06-07,-31.8182
2010-06-08,6.6667
2010-06-11,18.75
2010-06-16,5.2632
2010-06-18,25.0
2010-06-22,-20.0
2010-06-25,0.0
2010-06-29,7.5
2010-06-30,0.0
2010-07-02,-6.9767
2010-07-06,25.0
2010-07-08,10.0
2010-07-09,27.2727
2010-07-12,8.5714
2010-07-13,-7.8947
2010-07-14,-34.2857
2010-07-15,0.0
2010-07-19,43.4783
2010-07-21,-30.303
2010-07-23,8.6957
2010-07-26,0.0
2010-07-29,-8.0
2010-08-04,-4.3478
2010-08-05,0.0
2010-08-06,0.0
2010-08-09,-45.4545
2010-08-12,25.0
2010-08-16,40.0
2010-08-18,4.7619
2010-08-23,-22.7273
2010-09-01,-11.7647
2010-09-03,0.0
2010-09-08,0.0
2010-09-10,106.6667
2010-09-13,-32.2581
2010-09-14,0.0
2010-09-15,33.3333
2010-09-21,-21.4286
2010-09-23,-18.1818
2010-09-24,-5.5556
2010-10-01,-11.7647
2010-10-05,-6.6667
2010-10-06,0.0
2010-10-07,2.1429
2010-10-12,4.8951
2010-10-14,0.0
2010-10-21,0.0
2010-10-25,-20.0
2010-10-29,41.6667
2010-11-04,0.0
2010-11-12,0.0
2010-11-22,-5.8824
2010-11-24,6.25
2010-11-30,0.0
2010-12-03,-41.1765
2010-12-13,10.0
2010-12-22,0.0
2011-01-04,0.0
2011-01-05,27.2727
2011-01-06,-14.2857
2011-01-12,0.0
2011-01-13,-8.3333
2011-01-14,9.0909
2011-01-25,-8.3333
2011-01-26,0.0
2011-02-02,190.9091
2011-02-03,-15.625
2011-02-11,-59.2593
2011-02-22,72.7273
2011-02-23,-10.526299999999999
2011-02-24,-11.7647
2011-02-25,0.0
2011-03-02,-29.3333
2011-03-04,3.7736
