ticker,PONT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-26,10.8911
2000-07-26,0.0
2000-07-27,8.0357
2000-08-09,-0.8264
2000-11-01,-3.75
2000-11-15,3.8961
2000-12-08,0.0
2001-03-23,0.0
2001-07-27,0.0
2001-09-18,0.0
2002-02-07,1.6667
2002-11-22,2.459
2003-06-17,9.6
2003-12-01,4.3796
2003-12-08,1.3986
2004-12-16,37.931
2005-01-19,0.0
2005-02-10,1.0
2005-06-10,13.8614
2006-01-19,15.9991
2006-01-20,9.434
2006-08-08,-11.3573
2006-08-17,2.3437
2006-08-18,3.8167999999999997
2006-08-21,-0.7353
2006-09-05,1.8519
2007-01-11,2.1906
2007-02-07,-1.7506
2007-03-07,1.8182
2007-09-27,4.2603
2007-12-19,-2.7586
2008-01-18,-2.2917
2008-04-22,-2.7016999999999998
2008-07-17,12.8032
2008-07-22,3.3333
2008-12-04,-6.2853
2008-12-23,-18.6207
2008-12-30,0.8475
2009-02-20,17.9444
2009-04-16,-12.887599999999999
2009-04-29,15.2263
2009-09-09,-37.3658
2009-09-17,48.5714
2009-10-15,-12.6923
2009-10-23,14.5374
2009-10-28,-12.3077
2009-10-29,-11.5789
2009-11-06,29.3532
2009-11-12,0.0
2009-11-18,-13.0769
2009-11-30,15.0442
2009-12-21,-12.6923
2010-01-05,14.5374
2010-07-14,2.574
2010-10-15,-1.6641
2010-11-05,0.0
2010-12-13,0.0
2011-07-13,-6.0964
2011-11-29,1.0771
2011-11-30,4.5082
2011-12-01,1.9607999999999999
2012-01-09,-1.6962000000000002
2012-01-11,1.9607999999999999
2013-03-18,-2.7616
2013-04-18,6.0
2013-05-06,4.2456
2013-05-16,-1.4545
2014-10-09,22.6521
2014-10-31,-0.1531
2014-11-14,-0.6135
2015-01-07,2.0882
2015-02-09,0.9091
2015-02-24,0.0
2015-02-25,0.0
2015-03-27,0.3303
2015-06-18,0.7519
2015-06-24,-0.2985
2015-06-26,1.4371
2015-07-02,0.5917
2015-07-21,-1.7647
2015-08-20,0.2994
2015-08-21,0.0
2015-08-27,1.4925
2015-11-09,3.184
2015-11-10,7.1429
2015-11-23,-6.6667
2016-06-13,3.8849
2016-06-22,-0.5125
2016-06-27,4.4132
2016-08-01,0.2272
2016-08-09,1.3333
2016-08-18,5.2632
2016-11-08,-6.0504
2016-11-28,6.6667
2016-12-20,-6.25
2017-01-06,6.1072
2017-03-13,0.7557
2017-03-16,0.0
2017-03-23,0.0
2017-04-07,-5.5751
2017-04-26,3.7234
2017-05-05,0.0
2017-05-16,-2.5641
2017-07-27,2.8752
2017-10-25,-1.0537
2017-12-20,2.5974
2018-01-19,1.4971
2018-02-16,1.25
2018-03-05,2.4691
2018-05-07,5.3524
2018-09-04,-3.2147
2018-09-05,-3.5714
2018-09-13,0.0
2018-09-20,2.4691
2018-10-18,-2.1621
2018-10-23,-1.2346
2019-01-07,0.2632
2019-01-31,0.0
2019-03-25,0.0
2019-05-16,0.6543
2019-05-17,3.75
2019-06-10,0.241
2019-07-29,0.0723
2019-08-28,1.2048
2019-09-19,-1.1905000000000001
2019-11-01,0.556
2020-01-28,1.0369
2020-02-05,5.0119
2020-03-13,-3.4091
2020-03-23,0.0
2020-06-11,1.944
2020-07-17,0.3735
2020-07-20,0.0
2020-07-27,0.0
