ticker,PPHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-04,-7.8571
2019-04-08,0.0
2019-04-11,-6.5891
2019-04-12,0.0
2019-04-22,0.0
2019-05-03,4.9793
2019-05-14,-4.7431
2019-05-16,-3.5353
2019-05-21,-0.1204
2019-05-24,1.2059
2019-06-04,2.0426
2019-06-05,10.0917
2019-06-06,6.0606
2019-06-07,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,-16.4286
2019-06-17,-5.1282
2019-06-18,26.1261
2019-07-11,0.0
2019-07-19,-10.0714
2019-08-16,-4.6068
2019-09-11,0.0008
2019-09-13,-0.0008
2019-09-30,0.0833
2019-11-14,0.0
2019-12-04,8.3236
2019-12-12,-7.0696
2019-12-24,-5.7851
2020-01-31,5.9526
2020-03-09,-5.316
2020-03-23,-1.6307
2020-03-25,-9.7778
2020-04-08,5.0739
2020-04-20,2.8598
2020-04-21,-7.4749
2020-04-29,0.0
2020-04-30,0.0
2020-05-05,8.3724
2020-05-11,-7.7256
2020-05-15,0.0
2020-05-26,0.0
2020-06-25,12.6108
2020-07-21,-10.4549
2020-07-27,7.4744
