ticker,PTMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-12,5.7333
2006-12-13,0.2522
2006-12-14,-0.6918
2006-12-15,1.2666
2006-12-18,-0.3752
2006-12-19,-0.1883
2006-12-20,4.9056999999999995
2006-12-21,-2.2782
2006-12-22,0.5521
2006-12-26,-0.3051
2006-12-27,5.1408
2006-12-28,1.5716
2006-12-29,-0.8596
2007-01-03,-2.3121
2007-01-04,-0.5325
2007-01-05,-0.5949
2007-01-08,0.0598
2007-01-09,-0.3589
2007-01-10,-2.401
2007-01-11,0.4305
2007-01-12,-0.3674
2007-01-16,1.721
2007-01-17,0.3021
2007-01-18,-0.6024
2007-01-19,-0.8485
2007-01-22,3.3619
2007-01-23,1.4784
2007-01-24,0.5828
2007-01-25,-0.3476
2007-01-26,2.3837
2007-01-29,1.0221
2007-01-30,1.1804000000000001
2007-01-31,-0.6667
2007-02-01,-2.4049
2007-02-02,0.2865
2007-02-05,-0.7429
2007-02-06,0.5757
2007-02-07,-1.0303
2007-02-08,0.5205
2007-02-09,-1.0357
2007-02-12,-1.4535
2007-02-13,2.0649
2007-02-14,0.8671
2007-02-15,-0.4585
2007-02-16,-1.209
2007-02-20,0.9324
2007-02-21,0.0577
2007-02-22,-0.1731
2007-02-23,0.0
2007-02-26,-2.948
2007-02-27,-3.8118
2007-02-28,-1.3003
2007-03-01,-0.8783
2007-03-02,-0.9494
2007-03-05,-3.8339
2007-03-06,2.1927
2007-03-07,1.1053
2007-03-08,-2.3794
2007-03-09,1.3834
2007-03-12,1.9493
2007-03-13,-1.211
2007-03-14,-2.4516
2007-03-15,1.6468
2007-03-16,0.462
2007-03-19,-2.4611
2007-03-20,0.1992
2007-03-21,1.9881
2007-03-22,4.6134
2007-03-23,1.0559
2007-03-26,1.4136
2007-03-27,-0.9697
2007-03-28,0.0
2007-03-29,2.8152
2007-03-30,-4.7619
2007-04-02,-1.5625
2007-04-03,9.1429
2007-04-04,-0.5325
2007-04-05,0.4164
2007-04-09,0.5924
2007-04-10,1.2367
2007-04-11,-1.4543
2007-04-12,2.0661
2007-04-13,1.5038
2007-04-16,1.0256
2007-04-17,0.5076
2007-04-18,1.6274
2007-04-19,1.6564999999999999
2007-04-20,2.0098
2007-04-23,-4.1534
2007-04-24,0.6667
2007-04-25,-0.6071
2007-04-26,0.4997
2007-04-27,-0.663
2007-04-30,-0.2225
2007-05-01,1.0591
2007-05-02,-0.4413
2007-05-03,0.4986
2007-05-04,1.7641
2007-05-07,-0.7042
