ticker,PZZA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.6379
2000-01-04,-4.6729
2000-01-05,-1.4706000000000001
2000-01-06,0.0
2000-01-07,2.2388
2000-01-10,2.1898
2000-01-11,-2.8571
2000-01-12,-0.6127
2000-01-13,2.836
2000-01-14,-0.2398
2000-01-18,-1.2019
2000-01-19,-0.7299
2000-01-20,1.2255
2000-01-21,-1.6949
2000-01-24,-3.9409
2000-01-25,2.0513
2000-01-26,0.1256
2000-01-27,-1.6311
2000-01-28,-0.5102
2000-01-31,2.0513
2000-02-01,0.5025
2000-02-02,0.0
2000-02-03,0.75
2000-02-04,0.0
2000-02-07,1.9851
2000-02-08,-0.9732
2000-02-09,-2.2113
2000-02-10,-4.5226
2000-02-11,-2.6316
2000-02-14,0.5405
2000-02-15,-1.6129
2000-02-16,-2.1858
2000-02-17,4.7486
2000-02-18,-1.8667
2000-02-22,-1.3587
2000-02-23,6.3361
2000-02-24,-2.5907
2000-02-25,4.7872
2000-02-28,-2.7919
2000-02-29,0.2611
2000-03-01,4.9479
2000-03-02,-1.737
2000-03-03,1.0101
2000-03-06,10.25
2000-03-07,-7.2562
2000-03-08,1.467
2000-03-09,11.5663
2000-03-10,-5.1296
2000-03-13,1.309
2000-03-14,-0.2247
2000-03-15,8.5586
2000-03-16,15.7676
2000-03-17,-3.5842
2000-03-20,-5.2045
2000-03-21,6.6667
2000-03-22,-0.5515
2000-03-23,-1.1091
2000-03-24,-0.3738
2000-03-27,-1.3133
2000-03-28,-0.3802
2000-03-29,1.2405
2000-03-30,-0.4713
2000-03-31,0.0
2000-04-03,0.1894
2000-04-04,-2.8355
2000-04-05,-3.1128
2000-04-06,-4.8193
2000-04-07,1.0549
2000-04-10,-0.6263
2000-04-11,-5.042
2000-04-12,-0.6637
2000-04-13,-1.1136
2000-04-14,-2.7027
2000-04-17,6.0185
2000-04-18,1.7467000000000001
2000-04-19,-0.2146
2000-04-20,-0.2151
2000-04-24,-1.7241
2000-04-25,8.114
2000-04-26,-12.9817
2000-04-27,0.4662
2000-04-28,2.0882
2000-05-01,9.3182
2000-05-02,-10.8108
2000-05-03,3.6131
2000-05-04,-7.7615
2000-05-05,6.8293
2000-05-08,-5.7078
2000-05-09,0.2421
2000-05-10,-0.9662
2000-05-11,3.9024
2000-05-12,-6.1033
2000-05-15,6.25
2000-05-16,1.1764999999999999
2000-05-17,0.0
2000-05-18,-3.9535
2000-05-19,-1.4527999999999999
2000-05-22,-1.2285
