ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-28,5.9091000000000005
2014-05-29,-9.8712
2014-05-30,6.9841
2014-06-02,9.4955
2014-06-03,-1.897
2014-06-04,2.2099
2014-06-05,0.6757
2014-06-06,8.0537
2014-06-09,1.8634
2014-06-10,4.7561
2014-06-11,-2.2119
2014-06-12,-2.3810000000000002
2014-06-13,5.4878
2014-06-16,-8.4509
2014-06-17,2.2856
2014-06-18,-1.2346
2014-06-19,0.625
2014-06-20,-0.6211
2014-06-23,4.25
2014-06-24,-4.0767
2014-06-25,1.875
2014-06-26,1.2577
2014-06-27,0.5756
2014-06-30,0.7229
2014-07-01,-4.6651
2014-07-02,0.3764
2014-07-03,6.25
2014-07-07,1.7647
2014-07-08,1.7341
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.1705
2014-07-14,-0.1702
2014-07-15,-3.4091
2014-07-16,2.9353
2014-07-17,0.5772
2014-07-18,0.0
2014-07-21,1.0227
2014-07-22,0.0
2014-07-23,-3.9370000000000003
2014-07-24,2.5761
2014-07-25,-0.1142
2014-07-28,0.5714
2014-07-29,2.2727
2014-07-30,0.0
2014-07-31,1.1111
2014-08-01,0.7692
2014-08-04,3.5987
2014-08-05,-2.5263
2014-08-06,-0.6479
2014-08-07,-2.1739
2014-08-08,0.7778
2014-08-11,-1.8192
2014-08-12,1.078
2014-08-13,7.6547
2014-08-14,1.6512
2014-08-15,-0.3046
2014-08-18,2.8513
2014-08-19,-10.6931
2014-08-20,-1.9956
2014-08-21,-1.1312
2014-08-22,1.1442
2014-08-25,-0.3394
2014-08-26,0.0
2014-08-27,-0.6527
2014-08-28,0.657
2014-08-29,0.4554
2014-09-02,4.6312999999999995
2014-09-03,0.216
2014-09-04,2.8556
2014-09-05,-1.5178
2014-09-08,4.5731
2014-09-09,-2.3398
2014-09-10,2.082
2014-09-11,-0.1008
2014-09-12,-3.1665
2014-09-15,-2.943
2014-09-16,0.0978
2014-09-17,0.2172
2014-09-18,7.2589
2014-09-19,-1.1111
2014-09-22,-1.43
2014-09-23,1.2435
2014-09-25,-1.433
2014-09-26,-1.3498999999999999
2014-09-29,-0.2105
2014-09-30,-0.5274
2014-10-01,0.0
2014-10-02,0.9544
2014-10-03,4.937
2014-10-06,-1.5015
2014-10-07,-1.4228
2014-10-08,-1.0309
2014-10-09,-1.0417
2014-10-10,-1.1579
2014-10-13,-0.213
2014-10-14,-1.0672
2014-10-15,0.0
2014-10-16,2.4811
2014-10-17,0.8421
