ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-21,5.7692
2015-10-22,3.1818
2015-10-23,-0.652
2015-10-26,-2.4122
2015-10-27,-2.1265
2015-10-28,-3.6769
2015-10-29,-1.6387
2015-10-30,-1.1564
2015-11-02,5.2548
2015-11-03,-1.3188
2015-11-04,2.0237
2015-11-05,-3.1811
2015-11-06,1.3336000000000001
2015-11-09,1.4686
2015-11-10,1.5038
2015-11-11,0.6296
2015-11-12,-0.4049
2015-11-13,-5.0259
2015-11-16,-3.677
2015-11-17,-1.0705
2015-11-18,-3.4708
2015-11-19,0.6768
2015-11-20,1.0084
2015-11-23,-4.3261
2015-11-24,0.6087
2015-11-25,-1.3397000000000001
2015-11-27,0.876
2015-11-30,0.6296
2015-12-01,2.7832
2015-12-02,-0.9026
2015-12-03,-0.3177
2015-12-04,3.1662
2015-12-07,-1.1535
2015-12-08,-0.771
2015-12-09,0.273
2015-12-10,2.5759
2015-12-11,-0.3879
2015-12-14,-3.8123
2015-12-15,1.3211
2015-12-16,1.9979
2015-12-17,-2.1031
2015-12-18,-2.3589
2015-12-21,2.2649
2015-12-22,-1.6663000000000001
2015-12-23,0.9224
2015-12-24,-0.6376
2015-12-28,-0.6845
2015-12-29,3.2307
2015-12-30,1.0015
2015-12-31,-0.8469
2016-01-04,-1.2708
2016-01-05,2.3212
2016-01-06,-2.9284
2016-01-07,-0.8923
2016-01-08,-7.5884
2016-01-11,0.6263
2016-01-12,0.6455
2016-01-13,-2.2675
2016-01-14,-1.5936
2016-01-15,-4.6916
2016-01-19,4.1229
2016-01-20,-4.2477
2016-01-21,1.604
2016-01-22,3.2314
2016-01-25,-3.8471
2016-01-26,3.007
2016-01-27,-2.0265
2016-01-28,-1.6006
2016-01-29,-0.4755
2016-02-01,0.4023
2016-02-02,-12.3967
2016-02-03,6.032
2016-02-04,4.8261
2016-02-05,-3.035
2016-02-08,-4.6419
2016-02-09,-5.5355
2016-02-10,-2.0318
2016-02-11,-3.8173
2016-02-12,6.7188
2016-02-16,4.3924
2016-02-17,9.6774
2016-02-18,-0.8696
2016-02-19,-0.645
2016-02-22,3.7133000000000003
2016-02-23,-2.5038
2016-02-24,-0.9502
2016-02-25,0.337
2016-02-26,-0.6202
2016-02-29,-1.248
2016-03-01,3.9758
2016-03-02,0.1266
2016-03-03,-0.3541
2016-03-04,0.8629
2016-03-07,2.1641
2016-03-08,1.5271
2016-03-09,1.9651
2016-03-10,-1.0945
2016-03-11,2.8867000000000003
