ticker,RETO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-29,111.4
2017-11-30,-4.4465
2017-12-01,-15.2475
2017-12-04,31.3084
2017-12-05,-11.032
2017-12-06,-16.7
2017-12-07,-10.5042
2017-12-08,3.8228999999999997
2017-12-11,-6.2016
2017-12-12,10.1928
2017-12-13,5.625
2017-12-14,1.7751000000000001
2017-12-15,8.1395
2017-12-18,6.4516
2017-12-19,-0.404
2017-12-20,-1.3185
2017-12-21,-12.0247
2017-12-22,-2.5701
2017-12-26,2.3981
2017-12-27,-17.9157
2017-12-28,-13.5521
2017-12-29,16.3366
2018-01-02,0.8511
2018-01-03,6.6104
2018-01-04,9.8945
2018-01-05,3.0012
2018-01-08,1.8648
2018-01-09,-0.1144
2018-01-10,-3.4364
2018-01-11,7.3547
2018-01-12,-11.6022
2018-01-16,0.75
2018-01-17,12.1588
2018-01-18,11.3938
2018-01-19,10.526299999999999
2018-01-22,-3.2345
2018-01-23,-2.1356
2018-01-24,-7.9696
2018-01-25,-7.6289
2018-01-26,0.0
2018-01-29,3.125
2018-01-30,4.0043
2018-01-31,-1.5609
2018-02-01,-3.9112
2018-02-02,3.0803
2018-02-05,8.7513
2018-02-06,-0.8832
2018-02-07,-14.6535
2018-02-08,-7.0766
2018-02-09,-0.6242
2018-02-12,-4.8995
2018-02-13,-1.0568
2018-02-14,-6.275
2018-02-15,2.849
2018-02-16,18.8366
2018-02-20,0.6993
2018-02-21,7.7546
2018-02-22,-1.7186
2018-02-23,10.929
2018-02-26,-5.6158
2018-02-27,-9.499
2018-02-28,-0.9227
2018-03-01,-7.5669
2018-03-02,0.5038
2018-03-05,-0.3759
2018-03-06,2.1384
2018-03-07,-1.7241
2018-03-08,-1.6291
2018-03-09,1.4013
2018-03-12,4.5226
2018-03-13,1.5625
2018-03-14,-3.432
2018-03-15,-5.7598
2018-03-16,-1.1703999999999999
2018-03-19,11.7105
2018-03-20,14.3698
2018-03-21,-3.4501
2018-03-22,-9.3333
2018-03-23,1.7647
2018-03-26,0.4624
2018-03-27,3.6824
2018-03-28,0.0
2018-03-29,-3.4406
2018-04-02,-0.9195
2018-04-03,-2.4362
2018-04-04,-3.2105
2018-04-05,0.1229
2018-04-06,0.3681
2018-04-09,1.467
2018-04-10,-0.3614
2018-04-11,-3.9903
2018-04-12,-7.1788
2018-04-13,0.6784
2018-04-16,1.9542000000000002
2018-04-17,0.0661
2018-04-18,0.0
2018-04-19,-9.1149
2018-04-20,-9.0116
