ticker,RFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-28,-5.102
2018-03-29,4.3011
2018-04-02,-6.1856
2018-04-03,12.7473
2018-04-04,2.924
2018-04-05,18.75
2018-04-06,-6.2201
2018-04-09,2.551
2018-04-10,-0.4975
2018-04-11,-0.6667
2018-04-12,0.8389
2018-04-13,3.4942
2018-04-16,8.3601
2018-04-17,1.6320000000000001
2018-04-18,-5.1095
2018-04-19,0.4615
2018-04-20,-2.2971
2018-04-23,6.5831
2018-04-24,-2.2059
2018-04-25,1.3534
2018-04-26,2.2255
2018-04-27,6.6763
2018-04-30,11.5646
2018-05-01,-5.4878
2018-05-02,2.4516
2018-05-03,-1.7631999999999999
2018-05-04,1.1538
2018-05-07,4.3093
2018-05-08,0.1215
2018-05-09,-1.335
2018-05-10,-6.6421
2018-05-11,5.4018
2018-05-14,3.875
2018-05-15,0.6017
2018-05-16,2.3923
2018-05-17,-3.271
2018-05-18,-0.1208
2018-05-21,1.451
2018-05-22,-4.0524000000000004
2018-05-23,3.9752
2018-05-24,0.4779
2018-05-25,0.9512
2018-05-29,1.8846
2018-05-30,3.1214
2018-05-31,2.5785
2018-06-01,8.4153
2018-06-04,0.4032
2018-06-05,1.506
2018-06-06,-1.7804
2018-06-07,0.7049
2018-06-08,0.0
2018-06-11,-2.0
2018-06-12,-1.7347000000000001
2018-06-13,-3.2191
2018-06-14,-0.3219
2018-06-15,-2.5834
2018-06-18,1.6575
2018-06-19,-4.8913
2018-06-20,-4.8
2018-06-21,4.922
2018-06-22,1.6018
2018-06-25,3.6036
2018-06-26,2.5
2018-06-27,-3.9236
2018-06-28,-0.5519
2018-06-29,1.9978
2018-07-02,-0.6529
2018-07-03,0.1095
2018-07-05,-1.6411
2018-07-06,-0.7786
2018-07-09,4.9327
2018-07-10,-1.2821
2018-07-11,1.7316
2018-07-12,2.766
2018-07-13,-1.8634
2018-07-16,-3.8291
2018-07-17,2.3363
2018-07-18,2.7866999999999997
2018-07-19,-0.1043
2018-07-20,6.1587
2018-07-23,-1.4748999999999999
2018-07-24,-6.7864
2018-07-25,2.0343
2018-07-26,-0.7345
2018-07-27,-1.1628
2018-07-30,-2.4599
2018-07-31,-0.2193
2018-08-01,0.2198
2018-08-02,-0.2193
2018-08-03,2.1978
2018-08-06,4.086
2018-08-07,-0.8264
2018-08-08,0.8333
2018-08-09,-2.376
2018-08-10,-2.1164
2018-08-13,-2.0541
2018-08-14,-0.6623
2018-08-15,2.2222
2018-08-16,1.087
