ticker,RITT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.8125
2000-01-04,1.087
2000-01-05,8.9606
2000-01-06,9.8684
2000-01-07,-7.7844
2000-01-10,-1.2987
2000-01-11,3.9474
2000-01-12,1.2658
2000-01-13,-0.625
2000-01-14,-4.4025
2000-01-18,-0.3289
2000-01-19,2.3102
2000-01-20,1.6129
2000-01-21,2.5397
2000-01-24,11.4551
2000-01-25,3.3333
2000-01-26,-5.3763
2000-01-27,-6.8182
2000-01-28,-3.6585
2000-01-31,-1.8987
2000-02-01,3.871
2000-02-02,5.5901
2000-02-03,0.5882
2000-02-04,2.3392
2000-02-07,-3.4286
2000-02-08,2.9586
2000-02-09,-2.2989
2000-02-10,3.5294
2000-02-11,7.9545
2000-02-14,-4.2105
2000-02-15,-7.1429
2000-02-16,1.7751000000000001
2000-02-17,6.9767
2000-02-18,-2.1739
2000-02-22,-1.1111
2000-02-23,-1.6854
2000-02-24,0.0
2000-02-25,0.5714
2000-02-28,0.5682
2000-02-29,17.5141
2000-03-01,8.6538
2000-03-02,2.2124
2000-03-03,2.5974
2000-03-06,0.8439
2000-03-07,1.2551999999999999
2000-03-08,-0.4132
2000-03-09,13.6929
2000-03-10,6.5693
2000-03-13,-2.7397
2000-03-14,11.2676
2000-03-15,-4.7468
2000-03-16,-3.3223
2000-03-17,2.4055
2000-03-20,-14.4295
2000-03-21,-2.7451
2000-03-22,-0.8065
2000-03-23,0.813
2000-03-24,-3.629
2000-03-27,2.9289
2000-03-28,2.439
2000-03-29,-11.1111
2000-03-30,-24.1071
2000-03-31,1.1764999999999999
2000-04-03,-10.4651
2000-04-04,-3.2468
2000-04-05,2.0134
2000-04-06,20.3947
2000-04-07,13.661200000000001
2000-04-10,-7.6923
2000-04-11,-7.8125
2000-04-12,-9.0395
2000-04-13,-10.559
2000-04-14,-18.0556
2000-04-17,8.4746
2000-04-18,26.5625
2000-04-19,0.6173
2000-04-20,-0.6135
2000-04-24,-11.1111
2000-04-25,11.1111
2000-04-26,-6.25
2000-04-27,-2.6667
2000-04-28,6.8493
2000-05-01,8.9744
2000-05-02,-2.3529
2000-05-03,-6.6265
2000-05-04,-0.6452
2000-05-05,-3.2468
2000-05-08,3.3557
2000-05-09,1.2987
2000-05-10,-6.4103
2000-05-11,4.1096
2000-05-12,-3.9474
2000-05-15,1.3699
2000-05-16,4.0541
2000-05-17,-3.8961
2000-05-18,2.7027
2000-05-19,-5.2632
2000-05-22,-4.1667
