ticker,RNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-27,40.0
2013-09-30,-0.989
2013-10-01,-5.2164
2013-10-02,-0.4684
2013-10-03,-0.5294
2013-10-04,4.6127
2013-10-07,3.4483
2013-10-08,-6.5027
2013-10-09,-3.5067
2013-10-10,2.3622
2013-10-11,0.4734
2013-10-14,2.8269
2013-10-15,2.52
2013-10-16,-1.0056
2013-10-17,-0.7336
2013-10-18,5.4008
2013-10-21,2.4811
2013-10-22,-2.1053
2013-10-23,-1.0215
2013-10-24,2.4986
2013-10-25,-1.6958
2013-10-28,1.8329
2013-10-29,-1.3235000000000001
2013-10-30,-0.2146
2013-10-31,3.5484
2013-11-01,-2.2326
2013-11-04,-0.5842
2013-11-05,2.0299
2013-11-06,-2.0419
2013-11-07,-3.581
2013-11-08,-2.9379
2013-11-11,0.0571
2013-11-12,-1.3128
2013-11-13,-1.7929
2013-11-14,-2.0024
2013-11-15,-1.0216
2013-11-18,-0.2429
2013-11-19,-0.4869
2013-11-20,1.3456000000000001
2013-11-21,-0.6035
2013-11-22,-0.0607
2013-11-25,-2.1871
2013-11-26,-0.9938
2013-11-27,0.1882
2013-11-29,-0.6262
2013-12-02,-0.252
2013-12-03,1.9583
2013-12-04,-1.7348
2013-12-05,6.2421
2013-12-06,1.1276
2013-12-09,1.3498
2013-12-10,-0.6369
2013-12-11,0.6993
2013-12-12,0.0579
2013-12-13,0.8097
2013-12-16,-0.6311
2013-12-17,-0.2887
2013-12-18,2.9531
2013-12-19,0.0
2013-12-20,-0.8436
2013-12-23,3.5167
2013-12-24,-0.3836
2013-12-26,-0.8251
2013-12-27,2.1631
2013-12-30,-0.5972
2013-12-31,0.3277
2014-01-02,-2.8851
2014-01-03,0.7848
2014-01-06,-2.9477
2014-01-07,3.8395
2014-01-08,4.5254
2014-01-09,-0.7392
2014-01-10,0.2128
2014-01-13,-2.2293
2014-01-14,1.683
2014-01-15,2.6161
2014-01-16,-0.9886
2014-01-17,-1.9443000000000001
2014-01-21,1.2862
2014-01-22,1.5344
2014-01-23,-0.8338
2014-01-24,-5.2023
2014-01-27,-0.6652
2014-01-28,2.567
2014-01-29,-2.0131
2014-01-30,2.8318
2014-01-31,-1.4579
2014-02-03,-2.411
2014-02-04,-0.1123
2014-02-05,-0.8432
2014-02-06,2.7211
2014-02-07,11.8102
2014-02-10,4.1955
2014-02-11,-1.0895
2014-02-12,2.251
2014-02-13,2.5761
2014-02-14,-0.7306
2014-02-18,2.5299
