ticker,RPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-21,0.0
2008-12-30,33.3333
2009-02-11,0.0
2009-02-23,0.0
2009-03-25,15.0
2010-01-12,-19.5652
2010-02-03,-94.5946
2010-02-04,1900.0
2010-02-08,-5.0
2010-02-10,0.0
2010-08-02,-67.1053
2010-08-03,60.0
2010-08-16,-42.0
2010-10-19,-12.069
2010-10-20,7.8431
2010-10-21,0.0
2010-10-22,8.1818
2010-10-25,-2.9412000000000003
2010-10-26,3.7229
2010-10-27,3.5058
2010-10-28,4.8387
2010-10-29,10.7692
2010-11-01,-2.7778
2010-11-02,5.5714
2010-11-03,0.1353
2010-11-04,1.3514
2010-11-05,2.0
2010-11-08,1.9607999999999999
2010-11-09,0.0
2010-11-10,5.7692
2010-11-11,3.0303
2010-11-12,5.8824
2010-11-15,0.0
2010-11-16,0.0
2010-11-17,-2.2222
2010-11-18,1.1364
2010-11-19,0.8427
2010-11-22,-0.8357
2010-11-23,2.2472
2010-11-24,-2.1978
2010-11-26,2.2472
2010-11-29,-1.0989
2010-11-30,1.1111
2010-12-01,0.0
2010-12-02,-1.0989
2010-12-03,7.7778
2010-12-06,4.1237
2010-12-07,-0.9901
2010-12-08,0.0
2010-12-09,-1.0
2010-12-10,-5.0505
2010-12-13,-7.4468
2010-12-14,0.0
2010-12-15,2.2989
2010-12-16,-5.618
2010-12-17,4.7619
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,-1.1364
2010-12-23,3.4483
2010-12-27,-3.3333
2010-12-29,-3.4483
2010-12-30,1.1905000000000001
2010-12-31,0.0
2011-01-03,0.0
2011-01-04,1.1764999999999999
2011-01-05,1.1628
2011-01-06,-4.5977
2011-01-07,0.0
2011-01-10,-3.6145
2011-01-11,-8.75
2011-01-12,1.3699
2011-01-13,4.0541
2011-01-14,-2.5974
2011-01-18,1.3333
2011-01-19,1.3158
2011-01-20,3.8961
2011-01-21,2.5
2011-01-24,-2.439
2011-01-25,-1.875
2011-01-26,-4.4586
2011-01-27,2.6667
2011-01-28,-1.2987
2011-01-31,1.3158
2011-02-01,2.5974
2011-02-02,-5.0633
2011-02-03,0.0
2011-02-04,1.3333
2011-02-07,-1.3158
2011-02-08,0.0
2011-02-09,-2.6667
2011-02-10,-1.3699
2011-02-11,-5.5556
2011-02-14,-1.4706000000000001
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,-1.4925
2011-02-18,1.5152
2011-02-22,-1.4925
2011-02-23,1.5152
2011-02-24,-2.9851
