ticker,SGQZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-30,0.0
2007-05-18,100.0
2007-05-25,0.0
2007-07-18,-90.0
2008-10-09,100.0
2008-10-13,-50.0
2009-06-29,-98.75
2009-10-15,13233.332
2009-12-08,400.0
2009-12-10,-13.3333
2009-12-14,0.0
2009-12-17,15.3846
2009-12-28,13.3333
2009-12-29,17.647100000000002
2009-12-31,0.0
2010-01-04,0.0
2010-01-08,0.0
2010-01-27,-9.0
2010-02-11,9.8901
2010-02-12,30.0
2010-02-16,15.3846
2010-02-17,-13.3333
2010-02-19,-11.538499999999999
2010-02-24,8.6957
2010-03-11,4.0
2010-03-24,0.0
2010-04-06,3.8462
2010-04-28,0.0
2010-09-23,-7.4074
2010-09-27,0.0
2011-04-06,-60.0
