ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-12,27.0
2016-05-13,5.7368
2016-05-16,1.7730000000000001
2016-05-17,-2.5784000000000002
2016-05-18,4.721
2016-05-19,-2.5956
2016-05-20,1.683
2016-05-23,0.5172
2016-05-24,-0.7204
2016-05-25,-2.0041
2016-05-26,-2.2214
2016-05-27,0.6852
2016-05-31,0.7521
2016-06-01,-0.4621
2016-06-02,0.0
2016-06-03,0.3929
2016-06-06,0.7826
2016-06-07,0.4589
2016-06-08,-0.1054
2016-06-09,-0.2814
2016-06-10,-0.7055
2016-06-13,0.3908
2016-06-14,-1.1323
2016-06-15,1.5032
2016-06-16,-0.5642
2016-06-17,-3.227
2016-06-20,7.3286999999999995
2016-06-21,5.2919
2016-06-22,2.3995
2016-06-23,6.7764
2016-06-24,-0.1779
2016-06-27,-1.9905
2016-06-28,5.4562
2016-06-29,-2.3283
2016-06-30,0.0294
2016-07-01,3.4716
2016-07-05,2.2178
2016-07-06,-1.363
2016-07-07,-1.9177
2016-07-08,5.6354
2016-07-11,0.2722
2016-07-12,1.4386999999999999
2016-07-13,-0.9098
2016-07-14,-3.8617
2016-07-15,2.3034
2016-07-18,5.1895
2016-07-19,-1.1746
2016-07-20,-1.5584
2016-07-21,0.1073
2016-07-22,-0.3484
2016-07-25,5.6213
2016-07-26,-0.7894
2016-07-27,-0.5133
2016-07-28,0.4386
2016-07-29,-0.2312
2016-08-01,-0.2575
2016-08-02,-1.8327
2016-08-03,1.0518
2016-08-04,-2.6802
2016-08-05,0.4813
2016-08-08,-1.9425
2016-08-09,0.8412
2016-08-10,1.8298999999999999
2016-08-11,1.3214000000000001
2016-08-12,0.8607
2016-08-15,-0.4655
2016-08-16,-0.2858
2016-08-17,-5.7322
2016-08-18,3.3997
2016-08-19,2.1919
2016-08-22,3.9759
2016-08-23,2.0377
2016-08-24,-2.1696
2016-08-25,-2.1925
2016-08-26,-1.3141
2016-08-29,0.2089
2016-08-30,-0.3127
2016-08-31,-0.0523
2016-09-01,-0.7845
2016-09-02,0.0264
2016-09-06,0.5534
2016-09-07,2.2537
2016-09-08,2.9985
2016-09-09,-9.1316
2016-09-12,0.5476
2016-09-13,3.4041
2016-09-14,0.4741
2016-09-15,2.7523
2016-09-16,0.7908
2016-09-19,1.8476
2016-09-20,-3.4046
2016-09-21,-0.1544
2016-09-22,-4.0969
2016-09-23,-0.5373
2016-09-26,-1.8098
2016-09-27,-0.6602
2016-09-28,-0.5539
