ticker,SM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.0505
2000-01-04,-2.1277
2000-01-05,-0.5435
2000-01-06,3.2787
2000-01-07,-2.6455
2000-01-10,-0.5435
2000-01-11,-0.8197
2000-01-12,0.2755
2000-01-13,-1.0989
2000-01-14,0.5556
2000-01-18,14.9171
2000-01-19,-1.9231
2000-01-20,1.2255
2000-01-21,-3.1477
2000-01-24,1.25
2000-01-25,-1.7284000000000002
2000-01-26,1.5074999999999998
2000-01-27,0.495
2000-01-28,0.4926
2000-01-31,0.0
2000-02-01,7.3529
2000-02-02,-3.653
2000-02-03,2.8436
2000-02-04,-1.1521
2000-02-07,-3.9627
2000-02-08,-2.4272
2000-02-09,1.4428
2000-02-10,3.6855
2000-02-11,-3.3175
2000-02-14,2.2059
2000-02-15,-0.7194
2000-02-16,0.7246
2000-02-17,1.6787
2000-02-18,2.8302
2000-02-22,2.7523
2000-02-23,-0.4464
2000-02-24,-1.3453
2000-02-25,1.9886
2000-02-28,-0.6128
2000-02-29,-0.2242
2000-03-01,-2.0225
2000-03-02,-1.3761
2000-03-03,0.4651
2000-03-06,0.6944
2000-03-07,1.1494
2000-03-08,4.3182
2000-03-09,2.8322000000000003
2000-03-10,4.8729
2000-03-13,-1.4141
2000-03-14,-3.8933999999999997
2000-03-15,-0.6397
2000-03-16,0.3219
2000-03-17,-1.6042999999999998
2000-03-20,4.3478
2000-03-21,-1.6667
2000-03-22,0.2119
2000-03-23,-0.4228
2000-03-24,0.2123
2000-03-27,-2.5953
2000-03-28,-9.8423
2000-03-29,4.7045
2000-03-30,-1.8433000000000002
2000-03-31,12.2066
2000-04-03,3.3473
2000-04-04,12.0445
2000-04-05,-4.4264
2000-04-06,-3.2136
2000-04-07,6.6406
2000-04-10,-6.2271
2000-04-11,6.25
2000-04-12,-5.3309
2000-04-13,1.9417
2000-04-14,-5.7143
2000-04-17,6.6667
2000-04-18,2.6515
2000-04-19,-2.952
2000-04-20,0.3802
2000-04-24,3.0303
2000-04-25,-0.3676
2000-04-26,-0.1845
2000-04-27,0.0
2000-04-28,-0.1848
2000-05-01,-3.7037
2000-05-02,-1.1538
2000-05-03,2.5292
2000-05-04,-6.6414
2000-05-05,2.0325
2000-05-08,1.7928
2000-05-09,6.4579
2000-05-10,-1.1029
2000-05-11,3.4944
2000-05-12,2.518
2000-05-15,-1.4035
2000-05-16,1.0676
2000-05-17,0.1761
2000-05-18,3.1634
2000-05-19,-1.0221
2000-05-22,-0.5164
